# c       Rg2
1.609218436873747660e+00       8.585004134551947885e-01
1.631262525050100276e+00       8.524590381741444789e-01
1.653306613226452892e+00       8.463927367487067421e-01
1.675350701402805731e+00       8.403025408139550567e-01
1.697394789579158347e+00       8.341894758963008805e-01
1.719438877755511186e+00       8.280545614150853773e-01
1.741482965931863802e+00       8.218988106841786934e-01
1.763527054108216419e+00       8.157232309135958870e-01
1.785571142284569257e+00       8.095288232110671167e-01
1.807615230460921874e+00       8.033165825836748875e-01
1.829659318637274712e+00       7.970874979394317883e-01
1.851703406813627328e+00       7.908425520888966442e-01
1.873747494989980167e+00       7.845827217467755688e-01
1.895791583166332783e+00       7.783089775335121363e-01
1.917835671342685400e+00       7.720222839768862144e-01
1.939879759519038238e+00       7.657235995136417728e-01
1.961923847695390855e+00       7.594138764910610684e-01
1.983967935871743693e+00       7.530940611685793540e-01
2.006012024048096087e+00       7.467650937193894833e-01
2.028056112224449148e+00       7.404279082320257555e-01
2.050100200400801764e+00       7.340834327119950542e-01
2.072144288577154381e+00       7.277325890833474809e-01
2.094188376753506997e+00       7.213762931902941711e-01
2.116232464929860058e+00       7.150154547988183396e-01
2.138276553106212674e+00       7.086509775982476889e-01
2.160320641282565290e+00       7.022837592028913223e-01
2.182364729458917907e+00       6.959146911536180369e-01
2.204408817635270523e+00       6.895446589194555997e-01
2.226452905811623584e+00       6.831745418992094532e-01
2.248496993987976200e+00       6.768052134230558847e-01
2.270541082164328817e+00       6.704375407541434129e-01
2.292585170340681433e+00       6.640723850901932845e-01
2.314629258517034049e+00       6.577106015651017490e-01
2.336673346693387110e+00       6.513530392505409994e-01
2.358717434869739726e+00       6.450005411575676639e-01
2.380761523046092343e+00       6.386539442382204168e-01
2.402805611222444959e+00       6.323140793871135923e-01
2.424849699398797576e+00       6.259817714430472302e-01
2.446893787575150636e+00       6.196578391906160110e-01
2.468937875751503253e+00       6.133430953617904358e-01
2.490981963927855869e+00       6.070383466375339765e-01
2.513026052104208485e+00       6.007443936494103465e-01
2.535070140280561102e+00       5.944620309811633474e-01
2.557114228456914162e+00       5.881920471703379061e-01
2.579158316633266779e+00       5.819352247098744657e-01
2.601202404809619395e+00       5.756923400497091503e-01
2.623246492985972012e+00       5.694641635983793693e-01
2.645290581162324628e+00       5.632514597246236487e-01
2.667334669338677688e+00       5.570549867589833504e-01
2.689378757515030305e+00       5.508754969954055003e-01
2.711422845691382921e+00       5.447137366928380686e-01
2.733466933867735538e+00       5.385704460768440116e-01
2.755511022044088154e+00       5.324463593411907780e-01
2.777555110220441215e+00       5.263422046494621309e-01
2.799599198396793831e+00       5.202587041366482090e-01
2.821643286573146447e+00       5.141965739107597910e-01
2.843687374749499064e+00       5.081565240544277939e-01
2.865731462925851680e+00       5.021392586264805669e-01
2.887775551102204741e+00       4.961454756635932384e-01
2.909819639278557357e+00       4.901758671818424729e-01
2.931863727454909974e+00       4.842311191783407187e-01
2.953907815631262590e+00       4.783119116328164444e-01
2.975951903807615206e+00       4.724189185092303456e-01
2.997995991983968267e+00       4.665528077573697918e-01
3.020040080160320883e+00       4.607142413144460491e-01
3.042084168336673500e+00       4.549038751067136510e-01
3.064128256513026116e+00       4.491223590510476371e-01
3.086172344689378733e+00       4.433703370565693080e-01
3.108216432865731793e+00       4.376484470262294035e-01
3.130260521042084410e+00       4.319573208584192581e-01
3.152304609218437026e+00       4.262975844485706323e-01
3.174348697394789642e+00       4.206698576907543785e-01
3.196392785571142259e+00       4.150747544792882104e-01
3.218436873747495319e+00       4.095128827103318159e-01
3.240480961923847936e+00       4.039848442834934050e-01
3.262525050100200552e+00       3.984912351034328726e-01
3.284569138276553169e+00       3.930326450814498052e-01
3.306613226452905785e+00       3.876096581371051286e-01
3.328657314629258845e+00       3.822228521998113360e-01
3.350701402805611462e+00       3.768727992104349278e-01
3.372745490981964078e+00       3.715600651228986306e-01
3.394789579158316695e+00       3.662852099057857247e-01
3.416833667334669311e+00       3.610487875439387651e-01
3.438877755511022372e+00       3.558513460400594131e-01
3.460921843687374988e+00       3.506934274163167609e-01
3.482965931863727604e+00       3.455755677159437211e-01
3.505010020040080221e+00       3.404982970048389124e-01
3.527054108216432837e+00       3.354621393731749279e-01
3.549098196392785898e+00       3.304676129369857884e-01
3.571142284569138514e+00       3.255152298397834820e-01
3.593186372745491131e+00       3.206054962541566855e-01
3.615230460921843747e+00       3.157389123833620470e-01
3.637274549098196808e+00       3.109159724629350641e-01
3.659318637274549424e+00       3.061371647622939673e-01
3.681362725450902040e+00       3.014029715863358327e-01
3.703406813627254657e+00       2.967138692770366348e-01
3.725450901803607273e+00       2.920703282150580726e-01
3.747494989979960334e+00       2.874728128213517864e-01
3.769539078156312950e+00       2.829217815587486418e-01
3.791583166332665567e+00       2.784176869335750482e-01
3.813627254509018183e+00       2.739609754972422984e-01
3.835671342685370799e+00       2.695520878478592786e-01
3.857715430861723860e+00       2.651914586318252498e-01
3.879759519038076476e+00       2.608795165454387832e-01
3.901803607214429093e+00       2.566166843364902639e-01
3.923847695390781709e+00       2.524033788058719363e-01
3.945891783567134325e+00       2.482400108091802615e-01
3.967935871743487386e+00       2.441269852583073940e-01
3.989979959919840002e+00       2.400647011230536698e-01
4.012024048096192175e+00       2.360535514327250783e-01
4.034068136272545679e+00       2.320939232777329275e-01
4.056112224448898296e+00       2.281861978111989209e-01
4.078156312625250912e+00       2.243307502505565987e-01
4.100200400801603529e+00       2.205279498791523074e-01
4.122244488977956145e+00       2.167781600478422832e-01
4.144288577154308761e+00       2.130817381766003660e-01
4.166332665330661378e+00       2.094390357561232707e-01
4.188376753507013994e+00       2.058503983494208156e-01
4.210420841683366611e+00       2.023161655934254954e-01
4.232464929859720115e+00       1.988366712005928960e-01
4.254509018036072732e+00       1.954122429605009148e-01
4.276553106212425348e+00       1.920432027414572529e-01
4.298597194388777964e+00       1.887298664920941116e-01
4.320641282565130581e+00       1.854725442429718818e-01
4.342685370741483197e+00       1.822715401081894115e-01
4.364729458917835814e+00       1.791271522869672672e-01
4.386773547094188430e+00       1.760396730652691311e-01
4.408817635270541047e+00       1.730093888173909744e-01
4.430861723446893663e+00       1.700365800075674949e-01
4.452905811623247168e+00       1.671215211915715315e-01
4.474949899799599784e+00       1.642644810183191417e-01
4.496993987975952400e+00       1.614657222314687113e-01
4.519038076152305017e+00       1.587255016710217292e-01
4.541082164328657633e+00       1.560440702749258668e-01
4.563126252505010250e+00       1.534216730806793605e-01
4.585170340681362866e+00       1.508585492269270134e-01
4.607214428857715482e+00       1.483549319550673262e-01
4.629258517034068099e+00       1.459110486108479710e-01
4.651302605210420715e+00       1.435271206459771132e-01
4.673346693386774220e+00       1.412033636197135011e-01
4.695390781563126836e+00       1.389399872004791758e-01
4.717434869739479453e+00       1.367371951674488939e-01
4.739478957915832069e+00       1.345951854121663349e-01
4.761523046092184686e+00       1.325141499401331080e-01
4.783567134268537302e+00       1.304942748724172985e-01
4.805611222444889918e+00       1.285357404472548815e-01
4.827655310621242535e+00       1.266387210216465276e-01
4.849699398797595151e+00       1.248033850729648730e-01
4.871743486973947768e+00       1.230298952005548230e-01
4.893787575150301272e+00       1.213184081273338266e-01
4.915831663326653889e+00       1.196690747013928885e-01
4.937875751503006505e+00       1.180820398976002439e-01
4.959919839679359121e+00       1.165574428192024392e-01
4.981963927855711738e+00       1.150954166994266198e-01
5.004008016032064354e+00       1.136960889030815686e-01
5.026052104208416971e+00       1.123595809281580926e-01
5.048096192384769587e+00       1.110860084074331289e-01
5.070140280561122204e+00       1.098754811100689510e-01
5.092184368737474820e+00       1.087281029432186630e-01
5.114228456913828325e+00       1.076439719536221584e-01
5.136272545090180941e+00       1.066231803292144037e-01
5.158316633266533557e+00       1.056658144007200234e-01
5.180360721442886174e+00       1.047719546432618887e-01
5.202404809619238790e+00       1.039416756779603518e-01
5.224448897795591407e+00       1.031750462735291918e-01
5.246492985971944023e+00       1.024721293478883383e-01
5.268537074148296639e+00       1.018329819697560978e-01
5.290581162324649256e+00       1.012576553602529267e-01
5.312625250501001872e+00       1.007461948945090335e-01
5.334669338677355377e+00       1.002986401032593539e-01
5.356713426853707993e+00       9.991502467444506042e-02
5.378757515030060610e+00       9.959537645482122170e-02
5.400801603206413226e+00       9.933971745155269206e-02
5.422845691382765843e+00       9.914806383381885579e-02
5.444889779559118459e+00       9.902042593441461038e-02
5.466933867735471075e+00       9.895680825135090564e-02
5.488977955911823692e+00       9.895720944945793351e-02
5.511022044088176308e+00       9.902162236198627787e-02
5.533066132264528925e+00       9.915003399220891078e-02
5.555110220440882429e+00       9.934242551502173169e-02
5.577154308617235046e+00       9.959877227854713189e-02
5.599198396793587662e+00       9.991904380573332634e-02
5.621242484969940278e+00       1.003032037959591671e-01
5.643286573146292895e+00       1.007512101266322818e-01
5.665330661322645511e+00       1.012630148547930542e-01
5.687374749498998128e+00       1.018385642187169260e-01
5.709418837675350744e+00       1.024777986395125767e-01
5.731462925851703361e+00       1.031806527227272091e-01
5.753507014028056865e+00       1.039470552599477821e-01
5.775551102204409482e+00       1.047769292304000233e-01
5.797595190380762098e+00       1.056701918025543252e-01
5.819639278557114714e+00       1.066267543357234393e-01
5.841683366733467331e+00       1.076465223816649719e-01
5.863727454909819947e+00       1.087293956861855870e-01
5.885771543086172564e+00       1.098752681907400192e-01
5.907815631262525180e+00       1.110840280340359421e-01
5.929859719438877796e+00       1.123555575536287349e-01
5.951903807615230413e+00       1.136897332875337896e-01
5.973947895791583917e+00       1.150864259758180713e-01
5.995991983967936534e+00       1.165455005622067358e-01
6.018036072144289150e+00       1.180668161956850287e-01
6.040080160320641767e+00       1.196502262320983112e-01
6.062124248496994383e+00       1.212955782357561935e-01
6.084168336673347000e+00       1.230027139810297848e-01
6.106212424849699616e+00       1.247714694539571179e-01
6.128256513026052232e+00       1.266016748538462133e-01
6.150300601202404849e+00       1.284931545948708453e-01
6.172344689378757465e+00       1.304457273076764789e-01
6.194388777555110970e+00       1.324592058409842510e-01
6.216432865731463586e+00       1.345333972631853892e-01
6.238476953907816203e+00       1.366681028639503970e-01
6.260521042084168819e+00       1.388631181558253880e-01
6.282565130260521435e+00       1.411182328758379678e-01
6.304609218436874052e+00       1.434332309870941513e-01
6.326653306613226668e+00       1.458078906803859931e-01
6.348697394789579285e+00       1.482419843757867839e-01
6.370741482965931901e+00       1.507352787242564884e-01
6.392785571142284518e+00       1.532875346092472113e-01
6.414829659318638022e+00       1.558985071482938967e-01
6.436873747494990639e+00       1.585679456946264276e-01
6.458917835671343255e+00       1.612955938387687083e-01
6.480961923847695871e+00       1.640811894101367741e-01
6.503006012024048488e+00       1.669244644786435638e-01
6.525050100200401104e+00       1.698251453562999724e-01
6.547094188376753721e+00       1.727829525988172910e-01
6.569138276553106337e+00       1.757976010072075379e-01
6.591182364729458953e+00       1.788687996293860383e-01
6.613226452905811570e+00       1.819962517617714493e-01
6.635270541082165074e+00       1.851796549508902268e-01
6.657314629258517691e+00       1.884187009949782887e-01
6.679358717434870307e+00       1.917130759455766553e-01
6.701402805611222924e+00       1.950624601091432153e-01
6.723446893787575540e+00       1.984665280486453687e-01
6.745490981963928157e+00       2.019249485851663806e-01
6.767535070140280773e+00       2.054373847995065450e-01
6.789579158316633389e+00       2.090034940337841818e-01
6.811623246492986006e+00       2.126229278930360789e-01
6.833667334669338622e+00       2.162953322468220418e-01
6.855711422845692127e+00       2.200203472308255304e-01
6.877755511022044743e+00       2.237976072484527956e-01
6.899799599198397360e+00       2.276267409724390123e-01
6.921843687374749976e+00       2.315073713464471383e-01
6.943887775551102592e+00       2.354391155866683294e-01
6.965931863727455209e+00       2.394215851834272379e-01
6.987975951903807825e+00       2.434543859027820945e-01
7.010020040080160442e+00       2.475371177881244278e-01
7.032064128256513058e+00       2.516693751617842256e-01
7.054108216432865675e+00       2.558507466266290997e-01
7.076152304609219179e+00       2.600808150676668928e-01
7.098196392785571796e+00       2.643591576536466481e-01
7.120240480961924412e+00       2.686853458386619931e-01
7.142284569138277028e+00       2.730589453637512487e-01
7.164328657314629645e+00       2.774795162584990371e-01
7.186372745490982261e+00       2.819466128426391660e-01
7.208416833667334878e+00       2.864597837276557923e-01
7.230460921843687494e+00       2.910185718183841419e-01
7.252505010020040110e+00       2.956225143146138379e-01
7.274549098196393615e+00       3.002711427126895649e-01
7.296593186372746231e+00       3.049639828071123993e-01
7.318637274549098848e+00       3.097005546921432484e-01
7.340681362725451464e+00       3.144803727634022383e-01
7.362725450901804081e+00       3.193029457194718201e-01
7.384769539078156697e+00       3.241677765634988773e-01
7.406813627254509314e+00       3.290743626047948345e-01
7.428857715430861930e+00       3.340221954604374321e-01
7.450901803607214546e+00       3.390107610568759977e-01
7.472945891783567163e+00       3.440395396315271692e-01
7.494989979959920667e+00       3.491080057343814436e-01
7.517034068136273284e+00       3.542156282296026748e-01
7.539078156312625900e+00       3.593618702971303480e-01
7.561122244488978517e+00       3.645461894342814091e-01
7.583166332665331133e+00       3.697680374573510398e-01
7.605210420841683749e+00       3.750268605032153757e-01
7.627254509018036366e+00       3.803220990309328364e-01
7.649298597194388982e+00       3.856531878233456223e-01
7.671342685370741599e+00       3.910195559886815997e-01
7.693386773547094215e+00       3.964206269621561862e-01
7.715430861723447720e+00       4.018558185075735700e-01
7.737474949899800336e+00       4.073245427189285395e-01
7.759519038076152952e+00       4.128262060220086460e-01
7.781563126252505569e+00       4.183602091759950903e-01
7.803607214428858185e+00       4.239259472750648849e-01
7.825651302605210802e+00       4.295228097499922959e-01
7.847695390781563418e+00       4.351501803697513937e-01
7.869739478957916035e+00       4.408074372431161625e-01
7.891783567134268651e+00       4.464939528202639951e-01
7.913827655310621267e+00       4.522090938943759131e-01
7.935871743486974772e+00       4.579522216032385074e-01
7.957915831663327388e+00       4.637226914308468784e-01
7.979959919839680005e+00       4.695198532090040233e-01
8.002004008016031733e+00       4.753430511189251084e-01
8.024048096192384349e+00       4.811916236928374113e-01
8.046092184368738742e+00       4.870649038155822064e-01
8.068136272545091359e+00       4.929622187262172051e-01
8.090180360721443975e+00       4.988828900196171645e-01
8.112224448897796591e+00       5.048262336480773271e-01
8.134268537074149208e+00       5.107915599229131409e-01
8.156312625250501824e+00       5.167781735160624779e-01
8.178356713426854441e+00       5.227853734616882964e-01
8.200400801603207057e+00       5.288124531577793608e-01
8.222444889779559674e+00       5.348587003677519602e-01
8.244488977955912290e+00       5.409233972220527376e-01
8.266533066132264906e+00       5.470058202197581876e-01
8.288577154308617523e+00       5.531052402301790405e-01
8.310621242484970139e+00       5.592209224944592050e-01
8.332665330661322756e+00       5.653521266271800405e-01
8.354709418837675372e+00       5.714981066179600777e-01
8.376753507014027988e+00       5.776581108330569592e-01
8.398797595190380605e+00       5.838313820169709345e-01
8.420841683366733221e+00       5.900171572940442477e-01
8.442885771543085838e+00       5.962146681700638551e-01
8.464929859719440230e+00       6.024231405338633660e-01
8.486973947895792847e+00       6.086417946589240957e-01
8.509018036072145463e+00       6.148698452049774499e-01
8.531062124248498080e+00       6.211065012196055335e-01
8.553106212424850696e+00       6.273509661398443127e-01
8.575150300601203313e+00       6.336024377937845564e-01
8.597194388777555929e+00       6.398601084021718899e-01
8.619238476953908545e+00       6.461231645800119550e-01
8.641282565130261162e+00       6.523907873381696865e-01
8.663326653306613778e+00       6.586621520849709199e-01
8.685370741482966395e+00       6.649364286278053315e-01
8.707414829659319011e+00       6.712127811747274908e-01
8.729458917835671627e+00       6.774903683360576911e-01
8.751503006012024244e+00       6.837683431259854450e-01
8.773547094188376860e+00       6.900458529641696481e-01
8.795591182364729477e+00       6.963220396773414089e-01
8.817635270541082093e+00       7.025960395009038795e-01
8.839679358717434710e+00       7.088669830805367500e-01
8.861723446893787326e+00       7.151339954737955251e-01
8.883767535070139942e+00       7.213961961517140198e-01
8.905811623246494335e+00       7.276526990004067441e-01
8.927855711422846952e+00       7.339026123226687348e-01
8.949899799599199568e+00       7.401450388395799385e-01
8.971943887775552184e+00       7.463790756921042657e-01
8.993987975951904801e+00       7.526038144426929755e-01
9.016032064128257417e+00       7.588183410768853943e-01
9.038076152304610034e+00       7.650217360049118565e-01
9.060120240480962650e+00       7.712130740632935355e-01
9.082164328657315266e+00       7.773914245164457171e-01
9.104208416833667883e+00       7.835558510582788516e-01
9.126252505010020499e+00       7.897054118138000511e-01
9.148296593186373116e+00       7.958391593407155851e-01
9.170340681362725732e+00       8.019561406310311558e-01
9.192384769539078349e+00       8.080553971126552826e-01
9.214428857715430965e+00       8.141359646509993553e-01
9.236472945891783581e+00       8.201968735505809072e-01
9.258517034068136198e+00       8.262371485566240015e-01
9.280561122244488814e+00       8.322558088566613943e-01
9.302605210420841431e+00       8.382518680821366974e-01
9.324649298597194047e+00       8.442243343100047648e-01
9.346693386773548440e+00       8.501722100643349656e-01
9.368737474949901056e+00       8.560944923179119037e-01
9.390781563126253673e+00       8.619901724938372478e-01
9.412825651302606289e+00       8.678582364671316718e-01
9.434869739478958905e+00       8.736976645663363517e-01
9.456913827655311522e+00       8.795074315751144622e-01
9.478957915831664138e+00       8.852865067338528959e-01
9.501002004008016755e+00       8.910338537412647586e-01
9.523046092184369371e+00       8.967484307559899781e-01
9.545090180360721988e+00       9.024291903981975782e-01
9.567134268537074604e+00       9.080750797511871752e-01
9.589178356713427220e+00       9.136850403629903639e-01
9.611222444889779837e+00       9.192580082479732129e-01
9.633266533066132453e+00       9.247929138884374289e-01
9.655310621242485070e+00       9.302886822362218533e-01
9.677354709418837686e+00       9.357442327143050687e-01
9.699398797595190302e+00       9.411584792184050086e-01
9.721442885771542919e+00       9.465303301185833407e-01
9.743486973947895535e+00       9.518586882608452981e-01
9.765531062124248152e+00       9.571424509687420645e-01
9.787575150300602544e+00       9.623805100449726035e-01
9.809619238476955161e+00       9.675717517729840456e-01
9.831663326653307777e+00       9.727150569185758489e-01
9.853707414829660394e+00       9.778093007314989649e-01
9.875751503006013010e+00       9.828533529470586672e-01
9.897795591182365627e+00       9.878460777877168253e-01
9.919839679358718243e+00       9.927863339646919583e-01
9.941883767535070859e+00       9.976729746795626186e-01
9.963927855711423476e+00       1.002504847625868445e+00
9.985971943887776092e+00       1.007280794990710771e+00
1.000801603206412871e+01       1.011999653456356230e+00
1.003006012024048133e+01       1.016660254201837255e+00
1.005210420841683394e+01       1.021261422904554017e+00
1.007414829659318656e+01       1.025801979741875813e+00
1.009619238476953917e+01       1.030280739392743561e+00
1.011823647294589179e+01       1.034696511039270073e+00
1.014028056112224441e+01       1.039048098368343442e+00
1.016232464929859702e+01       1.043334299573228208e+00
1.018436873747494964e+01       1.047553907355165626e+00
1.020641282565130403e+01       1.051705708924977278e+00
1.022845691382765665e+01       1.055788486004666016e+00
1.025050100200400927e+01       1.059801014829017118e+00
1.027254509018036188e+01       1.063742066147200571e+00
1.029458917835671450e+01       1.067610405224373116e+00
1.031663326653306711e+01       1.071404791843278748e+00
1.033867735470941973e+01       1.075123980305852101e+00
1.036072144288577235e+01       1.078766719434817611e+00
1.038276553106212496e+01       1.082331752575293571e+00
1.040480961923847758e+01       1.085817817596393953e+00
1.042685370741483020e+01       1.089223646892827801e+00
1.044889779559118281e+01       1.092547967386502616e+00
1.047094188376753543e+01       1.095789500528125515e+00
1.049298597194388805e+01       1.098946962298805063e+00
1.051503006012024066e+01       1.102019063211653327e+00
1.053707414829659328e+01       1.105004508313387035e+00
1.055911823647294590e+01       1.107901997185929632e+00
1.058116232464929851e+01       1.110710223948011777e+00
1.060320641282565113e+01       1.113427877256775833e+00
1.062525050100200374e+01       1.116053640309373485e+00
1.064729458917835814e+01       1.118586190844571782e+00
1.066933867735471075e+01       1.121024201144350751e+00
1.069138276553106337e+01       1.123366338035508782e+00
1.071342685370741599e+01       1.125611262891261788e+00
1.073547094188376860e+01       1.127757631632845259e+00
1.075751503006012122e+01       1.129804094731117425e+00
1.077955911823647384e+01       1.131749297208159311e+00
1.080160320641282645e+01       1.133591878638876116e+00
1.082364729458917907e+01       1.135330473152601938e+00
1.084569138276553169e+01       1.136963709434696712e+00
1.086773547094188430e+01       1.138490210728152485e+00
1.088977955911823692e+01       1.139908594835191913e+00
1.091182364729458953e+01       1.141217474118872754e+00
1.093386773547094215e+01       1.142415455504685484e+00
1.095591182364729477e+01       1.143501140482159339e+00
1.097795591182364738e+01       1.144473125106461930e+00
1.100000000000000000e+01       1.145329999999999959e+00
