# N             E       lndos(E)        epsilon     c_ges
256.000     -384.800     -556.215     -0.400     0.006
256.000     -385.200     -556.825     -0.400     0.006
256.000     -385.600     -557.431     -0.400     0.006
256.000     -386.000     -558.039     -0.400     0.006
256.000     -386.400     -558.646     -0.400     0.006
256.000     -386.800     -559.253     -0.400     0.006
256.000     -387.600     -560.471     -0.400     0.006
256.000     -0.400     0.280     -0.400     0.006
256.000     -363.200     -523.356     -0.400     0.006
256.000     -362.400     -522.138     -0.400     0.006
256.000     -339.200     -486.761     -0.400     0.006
256.000     -339.600     -487.373     -0.400     0.006
256.000     -340.000     -487.984     -0.400     0.006
256.000     -340.400     -488.595     -0.400     0.006
256.000     -340.800     -489.204     -0.400     0.006
256.000     -341.200     -489.817     -0.400     0.006
256.000     -341.600     -490.425     -0.400     0.006
256.000     -338.800     -486.149     -0.400     0.006
256.000     -342.000     -491.036     -0.400     0.006
256.000     -342.800     -492.256     -0.400     0.006
256.000     -343.200     -492.868     -0.400     0.006
256.000     -343.600     -493.476     -0.400     0.006
256.000     -344.000     -494.085     -0.400     0.006
256.000     -344.400     -494.694     -0.400     0.006
256.000     -344.800     -495.303     -0.400     0.006
256.000     -345.200     -495.917     -0.400     0.006
256.000     -342.400     -491.646     -0.400     0.006
256.000     -338.400     -485.541     -0.400     0.006
256.000     -338.000     -484.933     -0.400     0.006
256.000     -337.600     -484.322     -0.400     0.006
256.000     -330.800     -473.934     -0.400     0.006
256.000     -331.200     -474.546     -0.400     0.006
256.000     -331.600     -475.156     -0.400     0.006
256.000     -332.000     -475.772     -0.400     0.006
256.000     -332.400     -476.382     -0.400     0.006
256.000     -332.800     -476.994     -0.400     0.006
256.000     -333.200     -477.604     -0.400     0.006
256.000     -333.600     -478.215     -0.400     0.006
256.000     -334.000     -478.825     -0.400     0.006
256.000     -334.400     -479.436     -0.400     0.006
256.000     -334.800     -480.049     -0.400     0.006
256.000     -335.200     -480.661     -0.400     0.006
256.000     -335.600     -481.268     -0.400     0.006
256.000     -336.000     -481.883     -0.400     0.006
256.000     -336.400     -482.494     -0.400     0.006
256.000     -336.800     -483.103     -0.400     0.006
256.000     -337.200     -483.713     -0.400     0.006
256.000     -345.600     -496.527     -0.400     0.006
256.000     -346.000     -497.135     -0.400     0.006
256.000     -346.400     -497.747     -0.400     0.006
256.000     -346.800     -498.358     -0.400     0.006
256.000     -355.600     -511.773     -0.400     0.006
256.000     -356.000     -512.383     -0.400     0.006
256.000     -356.400     -512.996     -0.400     0.006
256.000     -356.800     -513.604     -0.400     0.006
256.000     -357.200     -514.215     -0.400     0.006
256.000     -357.600     -514.825     -0.400     0.006
256.000     -358.000     -515.433     -0.400     0.006
256.000     -358.400     -516.044     -0.400     0.006
256.000     -358.800     -516.651     -0.400     0.006
256.000     -359.200     -517.258     -0.400     0.006
256.000     -359.600     -517.867     -0.400     0.006
256.000     -360.000     -518.478     -0.400     0.006
256.000     -360.400     -519.089     -0.400     0.006
256.000     -360.800     -519.698     -0.400     0.006
256.000     -361.200     -520.310     -0.400     0.006
256.000     -361.600     -520.916     -0.400     0.006
256.000     -362.000     -521.530     -0.400     0.006
256.000     -355.200     -511.163     -0.400     0.006
256.000     -362.800     -522.745     -0.400     0.006
256.000     -354.800     -510.556     -0.400     0.006
256.000     -354.000     -509.340     -0.400     0.006
256.000     -347.200     -498.970     -0.400     0.006
256.000     -347.600     -499.578     -0.400     0.006
256.000     -348.000     -500.190     -0.400     0.006
256.000     -348.400     -500.800     -0.400     0.006
256.000     -348.800     -501.411     -0.400     0.006
256.000     -349.200     -502.020     -0.400     0.006
256.000     -349.600     -502.635     -0.400     0.006
256.000     -350.000     -503.240     -0.400     0.006
256.000     -350.400     -503.852     -0.400     0.006
256.000     -350.800     -504.460     -0.400     0.006
256.000     -351.200     -505.073     -0.400     0.006
256.000     -351.600     -505.682     -0.400     0.006
256.000     -352.000     -506.289     -0.400     0.006
256.000     -352.400     -506.899     -0.400     0.006
256.000     -352.800     -507.511     -0.400     0.006
256.000     -353.200     -508.121     -0.400     0.006
256.000     -353.600     -508.731     -0.400     0.006
256.000     -354.400     -509.948     -0.400     0.006
256.000     -0.000     0.000     -0.400     0.006
256.000     -60.400     -58.611     -0.400     0.006
256.000     -1814.400     -3745.134     -0.400     0.006
256.000     -1796.000     -3645.212     -0.400     0.006
256.000     -1796.400     -3647.364     -0.400     0.006
256.000     -1796.800     -3649.513     -0.400     0.006
256.000     -1797.200     -3651.661     -0.400     0.006
256.000     -1797.600     -3653.816     -0.400     0.006
256.000     -1798.000     -3655.958     -0.400     0.006
256.000     -1798.400     -3658.116     -0.400     0.006
256.000     -1798.800     -3660.255     -0.400     0.006
256.000     -1799.200     -3662.401     -0.400     0.006
256.000     -1799.600     -3664.569     -0.400     0.006
256.000     -1800.000     -3666.727     -0.400     0.006
256.000     -1800.400     -3668.881     -0.400     0.006
256.000     -1800.800     -3671.043     -0.400     0.006
256.000     -1801.200     -3673.207     -0.400     0.006
256.000     -1801.600     -3675.346     -0.400     0.006
256.000     -1612.400     -2811.487     -0.400     0.006
256.000     -1802.400     -3679.675     -0.400     0.006
256.000     -1795.600     -3643.053     -0.400     0.006
256.000     -1795.200     -3640.900     -0.400     0.006
256.000     -1794.800     -3638.759     -0.400     0.006
256.000     -1794.400     -3636.610     -0.400     0.006
256.000     -1787.200     -3598.167     -0.400     0.006
256.000     -1787.600     -3600.288     -0.400     0.006
256.000     -1788.000     -3602.416     -0.400     0.006
256.000     -1788.400     -3604.544     -0.400     0.006
256.000     -1788.800     -3606.676     -0.400     0.006
256.000     -1789.200     -3608.817     -0.400     0.006
256.000     -1789.600     -3610.934     -0.400     0.006
256.000     -1790.000     -3613.078     -0.400     0.006
256.000     -1802.800     -3681.848     -0.400     0.006
256.000     -1790.400     -3615.209     -0.400     0.006
256.000     -1791.200     -3619.493     -0.400     0.006
256.000     -1791.600     -3621.619     -0.400     0.006
256.000     -1792.000     -3623.752     -0.400     0.006
256.000     -1792.400     -3625.884     -0.400     0.006
256.000     -1792.800     -3628.027     -0.400     0.006
256.000     -1793.200     -3630.176     -0.400     0.006
256.000     -1793.600     -3632.311     -0.400     0.006
256.000     -1794.000     -3634.465     -0.400     0.006
256.000     -1790.800     -3617.356     -0.400     0.006
256.000     -1786.800     -3596.046     -0.400     0.006
256.000     -1803.200     -3684.002     -0.400     0.006
256.000     -1804.000     -3688.342     -0.400     0.006
256.000     -1813.200     -3738.576     -0.400     0.006
256.000     -1813.600     -3740.761     -0.400     0.006
256.000     -1814.000     -3742.946     -0.400     0.006
256.000     -1612.000     -2809.983     -0.400     0.006
256.000     -1814.800     -3747.317     -0.400     0.006
256.000     -1815.200     -3749.506     -0.400     0.006
256.000     -1815.600     -3751.683     -0.400     0.006
256.000     -1816.000     -3753.887     -0.400     0.006
256.000     -1816.400     -3756.073     -0.400     0.006
256.000     -1816.800     -3758.279     -0.400     0.006
256.000     -1817.200     -3760.472     -0.400     0.006
256.000     -1817.600     -3762.653     -0.400     0.006
256.000     -1818.000     -3764.849     -0.400     0.006
256.000     -1818.400     -3767.060     -0.400     0.006
256.000     -1818.800     -3769.260     -0.400     0.006
256.000     -1819.200     -3771.468     -0.400     0.006
256.000     -1819.600     -3773.661     -0.400     0.006
256.000     -1812.800     -3736.374     -0.400     0.006
256.000     -1812.400     -3734.174     -0.400     0.006
256.000     -1812.000     -3731.992     -0.400     0.006
256.000     -1811.600     -3729.795     -0.400     0.006
256.000     -1804.400     -3690.517     -0.400     0.006
256.000     -1804.800     -3692.690     -0.400     0.006
256.000     -1805.200     -3694.855     -0.400     0.006
256.000     -1805.600     -3697.025     -0.400     0.006
256.000     -1806.000     -3699.188     -0.400     0.006
256.000     -1806.400     -3701.372     -0.400     0.006
256.000     -1806.800     -3703.547     -0.400     0.006
256.000     -1807.200     -3705.722     -0.400     0.006
256.000     -1803.600     -3686.190     -0.400     0.006
256.000     -1807.600     -3707.897     -0.400     0.006
256.000     -1808.400     -3712.273     -0.400     0.006
256.000     -1808.800     -3714.459     -0.400     0.006
256.000     -1809.200     -3716.668     -0.400     0.006
256.000     -1809.600     -3718.866     -0.400     0.006
256.000     -1810.000     -3721.050     -0.400     0.006
256.000     -1810.400     -3723.220     -0.400     0.006
256.000     -1810.800     -3725.418     -0.400     0.006
256.000     -1811.200     -3727.604     -0.400     0.006
256.000     -1808.000     -3710.085     -0.400     0.006
256.000     -1786.400     -3593.917     -0.400     0.006
256.000     -1786.000     -3591.798     -0.400     0.006
256.000     -1785.600     -3589.695     -0.400     0.006
256.000     -1761.200     -3461.989     -0.400     0.006
256.000     -1761.600     -3464.053     -0.400     0.006
256.000     -1762.000     -3466.126     -0.400     0.006
256.000     -1762.400     -3468.203     -0.400     0.006
256.000     -1762.800     -3470.261     -0.400     0.006
256.000     -1763.200     -3472.327     -0.400     0.006
256.000     -1763.600     -3474.409     -0.400     0.006
256.000     -1764.000     -3476.474     -0.400     0.006
256.000     -1764.400     -3478.546     -0.400     0.006
256.000     -1764.800     -3480.621     -0.400     0.006
256.000     -1765.200     -3482.699     -0.400     0.006
256.000     -1765.600     -3484.781     -0.400     0.006
256.000     -1766.000     -3486.860     -0.400     0.006
256.000     -1766.400     -3488.945     -0.400     0.006
256.000     -1766.800     -3491.038     -0.400     0.006
256.000     -1767.200     -3493.114     -0.400     0.006
256.000     -1767.600     -3495.206     -0.400     0.006
256.000     -1760.800     -3459.928     -0.400     0.006
256.000     -1760.400     -3457.868     -0.400     0.006
256.000     -1760.000     -3455.806     -0.400     0.006
256.000     -1759.600     -3453.755     -0.400     0.006
256.000     -1752.400     -3416.933     -0.400     0.006
256.000     -1752.800     -3418.960     -0.400     0.006
256.000     -1753.200     -3421.004     -0.400     0.006
256.000     -1753.600     -3423.049     -0.400     0.006
256.000     -1754.000     -3425.070     -0.400     0.006
256.000     -1754.400     -3427.109     -0.400     0.006
256.000     -1754.800     -3429.149     -0.400     0.006
256.000     -1755.200     -3431.188     -0.400     0.006
256.000     -1768.000     -3497.303     -0.400     0.006
256.000     -1755.600     -3433.238     -0.400     0.006
256.000     -1756.400     -3437.348     -0.400     0.006
256.000     -1756.800     -3439.387     -0.400     0.006
256.000     -1757.200     -3441.430     -0.400     0.006
256.000     -1757.600     -3443.474     -0.400     0.006
256.000     -1758.000     -3445.521     -0.400     0.006
256.000     -1758.400     -3447.569     -0.400     0.006
256.000     -1758.800     -3449.627     -0.400     0.006
256.000     -1759.200     -3451.688     -0.400     0.006
256.000     -1756.000     -3435.287     -0.400     0.006
256.000     -1768.400     -3499.374     -0.400     0.006
256.000     -1768.800     -3501.450     -0.400     0.006
256.000     -1769.200     -3503.541     -0.400     0.006
256.000     -1778.400     -3551.706     -0.400     0.006
256.000     -1778.800     -3553.811     -0.400     0.006
256.000     -1779.200     -3555.912     -0.400     0.006
256.000     -1779.600     -3558.011     -0.400     0.006
256.000     -1780.000     -3560.111     -0.400     0.006
256.000     -1780.400     -3562.220     -0.400     0.006
256.000     -1780.800     -3564.325     -0.400     0.006
256.000     -1781.200     -3566.435     -0.400     0.006
256.000     -1778.000     -3549.617     -0.400     0.006
256.000     -1781.600     -3568.543     -0.400     0.006
256.000     -1782.400     -3572.773     -0.400     0.006
256.000     -1782.800     -3574.879     -0.400     0.006
256.000     -1783.200     -3576.993     -0.400     0.006
256.000     -1783.600     -3579.108     -0.400     0.006
256.000     -1784.000     -3581.231     -0.400     0.006
256.000     -1784.400     -3583.351     -0.400     0.006
256.000     -1784.800     -3585.466     -0.400     0.006
256.000     -1785.200     -3587.575     -0.400     0.006
256.000     -1782.000     -3570.662     -0.400     0.006
256.000     -1820.000     -3775.874     -0.400     0.006
256.000     -1777.600     -3547.498     -0.400     0.006
256.000     -1776.800     -3543.308     -0.400     0.006
256.000     -1769.600     -3505.628     -0.400     0.006
256.000     -1770.000     -3507.727     -0.400     0.006
256.000     -1770.400     -3509.801     -0.400     0.006
256.000     -1770.800     -3511.888     -0.400     0.006
256.000     -1771.200     -3513.991     -0.400     0.006
256.000     -1771.600     -3516.069     -0.400     0.006
256.000     -1772.000     -3518.151     -0.400     0.006
256.000     -1772.400     -3520.238     -0.400     0.006
256.000     -1777.200     -3545.414     -0.400     0.006
256.000     -1772.800     -3522.324     -0.400     0.006
256.000     -1773.600     -3526.507     -0.400     0.006
256.000     -1774.000     -3528.595     -0.400     0.006
256.000     -1774.400     -3530.690     -0.400     0.006
256.000     -1774.800     -3532.799     -0.400     0.006
256.000     -1775.200     -3534.894     -0.400     0.006
256.000     -1775.600     -3536.991     -0.400     0.006
256.000     -1776.000     -3539.094     -0.400     0.006
256.000     -1776.400     -3541.205     -0.400     0.006
256.000     -1773.200     -3524.418     -0.400     0.006
256.000     -1752.000     -3414.897     -0.400     0.006
256.000     -1820.400     -3778.082     -0.400     0.006
256.000     -1821.200     -3782.500     -0.400     0.006
256.000     -1865.200     -4033.443     -0.400     0.006
256.000     -1865.600     -4035.794     -0.400     0.006
256.000     -1866.000     -4038.151     -0.400     0.006
256.000     -1866.400     -4040.502     -0.400     0.006
256.000     -1866.800     -4042.869     -0.400     0.006
256.000     -1867.200     -4045.221     -0.400     0.006
256.000     -1867.600     -4047.584     -0.400     0.006
256.000     -1868.000     -4049.952     -0.400     0.006
256.000     -1868.400     -4052.311     -0.400     0.006
256.000     -1868.800     -4054.660     -0.400     0.006
256.000     -1869.200     -4057.058     -0.400     0.006
256.000     -1869.600     -4059.413     -0.400     0.006
256.000     -1870.000     -4061.778     -0.400     0.006
256.000     -1870.400     -4064.137     -0.400     0.006
256.000     -1870.800     -4066.488     -0.400     0.006
256.000     -1871.200     -4068.847     -0.400     0.006
256.000     -1871.600     -4071.216     -0.400     0.006
256.000     -1864.800     -4031.082     -0.400     0.006
256.000     -1864.400     -4028.734     -0.400     0.006
256.000     -1864.000     -4026.362     -0.400     0.006
256.000     -1863.600     -4024.000     -0.400     0.006
256.000     -1856.400     -3981.970     -0.400     0.006
256.000     -1856.800     -3984.294     -0.400     0.006
256.000     -1857.200     -3986.605     -0.400     0.006
256.000     -1857.600     -3988.933     -0.400     0.006
256.000     -1858.000     -3991.248     -0.400     0.006
256.000     -1858.400     -3993.582     -0.400     0.006
256.000     -1858.800     -3995.924     -0.400     0.006
256.000     -1859.200     -3998.241     -0.400     0.006
256.000     -1872.000     -4073.571     -0.400     0.006
256.000     -1859.600     -4000.565     -0.400     0.006
256.000     -1860.400     -4005.244     -0.400     0.006
256.000     -1860.800     -4007.595     -0.400     0.006
256.000     -1861.200     -4009.940     -0.400     0.006
256.000     -1861.600     -4012.287     -0.400     0.006
256.000     -1862.000     -4014.623     -0.400     0.006
256.000     -1862.400     -4016.966     -0.400     0.006
256.000     -1862.800     -4019.318     -0.400     0.006
256.000     -1863.200     -4021.664     -0.400     0.006
256.000     -1860.000     -4002.912     -0.400     0.006
256.000     -1856.000     -3979.656     -0.400     0.006
256.000     -1872.400     -4075.939     -0.400     0.006
256.000     -1873.200     -4080.686     -0.400     0.006
256.000     -1882.400     -4135.895     -0.400     0.006
256.000     -1882.800     -4138.339     -0.400     0.006
256.000     -1883.200     -4140.773     -0.400     0.006
256.000     -1883.600     -4143.201     -0.400     0.006
256.000     -1884.000     -4145.630     -0.400     0.006
256.000     -1884.400     -4148.067     -0.400     0.006
256.000     -1884.800     -4150.495     -0.400     0.006
256.000     -1885.200     -4152.939     -0.400     0.006
256.000     -1885.600     -4155.378     -0.400     0.006
256.000     -1886.000     -4157.822     -0.400     0.006
256.000     -1886.400     -4160.257     -0.400     0.006
256.000     -1886.800     -4162.691     -0.400     0.006
256.000     -1887.200     -4165.118     -0.400     0.006
256.000     -1887.600     -4167.561     -0.400     0.006
256.000     -1888.000     -4169.990     -0.400     0.006
256.000     -1888.400     -4172.426     -0.400     0.006
256.000     -1888.800     -4174.859     -0.400     0.006
256.000     -1882.000     -4133.469     -0.400     0.006
256.000     -1881.600     -4131.061     -0.400     0.006
256.000     -1881.200     -4128.654     -0.400     0.006
256.000     -1880.800     -4126.223     -0.400     0.006
256.000     -1873.600     -4083.073     -0.400     0.006
256.000     -1874.000     -4085.454     -0.400     0.006
256.000     -1874.400     -4087.814     -0.400     0.006
256.000     -1874.800     -4090.204     -0.400     0.006
256.000     -1875.200     -4092.584     -0.400     0.006
256.000     -1875.600     -4094.961     -0.400     0.006
256.000     -1876.000     -4097.354     -0.400     0.006
256.000     -1876.400     -4099.742     -0.400     0.006
256.000     -1872.800     -4078.312     -0.400     0.006
256.000     -1876.800     -4102.153     -0.400     0.006
256.000     -1877.600     -4106.948     -0.400     0.006
256.000     -1878.000     -4109.350     -0.400     0.006
256.000     -1878.400     -4111.745     -0.400     0.006
256.000     -1878.800     -4114.143     -0.400     0.006
256.000     -1879.200     -4116.563     -0.400     0.006
256.000     -1879.600     -4118.977     -0.400     0.006
256.000     -1880.000     -4121.391     -0.400     0.006
256.000     -1880.400     -4123.806     -0.400     0.006
256.000     -1877.200     -4104.548     -0.400     0.006
256.000     -1855.600     -3977.337     -0.400     0.006
256.000     -1855.200     -3975.029     -0.400     0.006
256.000     -1854.800     -3972.710     -0.400     0.006
256.000     -1830.400     -3833.762     -0.400     0.006
256.000     -1830.800     -3836.005     -0.400     0.006
256.000     -1831.200     -3838.243     -0.400     0.006
256.000     -1831.600     -3840.494     -0.400     0.006
256.000     -1832.000     -3842.727     -0.400     0.006
256.000     -1832.400     -3844.975     -0.400     0.006
256.000     -1832.800     -3847.210     -0.400     0.006
256.000     -1833.200     -3849.464     -0.400     0.006
256.000     -1833.600     -3851.723     -0.400     0.006
256.000     -1834.000     -3853.978     -0.400     0.006
256.000     -1834.400     -3856.243     -0.400     0.006
256.000     -1834.800     -3858.491     -0.400     0.006
256.000     -1835.200     -3860.751     -0.400     0.006
256.000     -1835.600     -3863.009     -0.400     0.006
256.000     -1836.000     -3865.265     -0.400     0.006
256.000     -1836.400     -3867.535     -0.400     0.006
256.000     -1836.800     -3869.789     -0.400     0.006
256.000     -1830.000     -3831.516     -0.400     0.006
256.000     -1829.600     -3829.260     -0.400     0.006
256.000     -1829.200     -3827.022     -0.400     0.006
256.000     -1828.800     -3824.762     -0.400     0.006
256.000     -1821.600     -3784.697     -0.400     0.006
256.000     -1822.000     -3786.899     -0.400     0.006
256.000     -1822.400     -3789.121     -0.400     0.006
256.000     -1822.800     -3791.335     -0.400     0.006
256.000     -1823.200     -3793.537     -0.400     0.006
256.000     -1823.600     -3795.753     -0.400     0.006
256.000     -1824.000     -3797.965     -0.400     0.006
256.000     -1824.400     -3800.196     -0.400     0.006
256.000     -1837.200     -3872.030     -0.400     0.006
256.000     -1824.800     -3802.400     -0.400     0.006
256.000     -1825.600     -3806.854     -0.400     0.006
256.000     -1826.000     -3809.080     -0.400     0.006
256.000     -1826.400     -3811.318     -0.400     0.006
256.000     -1826.800     -3813.564     -0.400     0.006
256.000     -1827.200     -3815.805     -0.400     0.006
256.000     -1827.600     -3818.028     -0.400     0.006
256.000     -1828.000     -3820.277     -0.400     0.006
256.000     -1828.400     -3822.517     -0.400     0.006
256.000     -1825.200     -3804.632     -0.400     0.006
256.000     -1837.600     -3874.292     -0.400     0.006
256.000     -1838.000     -3876.545     -0.400     0.006
256.000     -1838.400     -3878.792     -0.400     0.006
256.000     -1847.600     -3931.274     -0.400     0.006
256.000     -1848.000     -3933.555     -0.400     0.006
256.000     -1848.400     -3935.869     -0.400     0.006
256.000     -1848.800     -3938.153     -0.400     0.006
256.000     -1849.200     -3940.449     -0.400     0.006
256.000     -1849.600     -3942.748     -0.400     0.006
256.000     -1850.000     -3945.037     -0.400     0.006
256.000     -1850.400     -3947.335     -0.400     0.006
256.000     -1847.200     -3928.965     -0.400     0.006
256.000     -1850.800     -3949.635     -0.400     0.006
256.000     -1851.600     -3954.242     -0.400     0.006
256.000     -1852.000     -3956.522     -0.400     0.006
256.000     -1852.400     -3958.827     -0.400     0.006
256.000     -1852.800     -3961.143     -0.400     0.006
256.000     -1853.200     -3963.457     -0.400     0.006
256.000     -1853.600     -3965.765     -0.400     0.006
256.000     -1854.000     -3968.066     -0.400     0.006
256.000     -1854.400     -3970.383     -0.400     0.006
256.000     -1851.200     -3951.927     -0.400     0.006
256.000     -1820.800     -3780.298     -0.400     0.006
256.000     -1846.800     -3926.667     -0.400     0.006
256.000     -1846.000     -3922.072     -0.400     0.006
256.000     -1838.800     -3881.068     -0.400     0.006
256.000     -1839.200     -3883.328     -0.400     0.006
256.000     -1839.600     -3885.591     -0.400     0.006
256.000     -1840.000     -3887.856     -0.400     0.006
256.000     -1840.400     -3890.123     -0.400     0.006
256.000     -1840.800     -3892.398     -0.400     0.006
256.000     -1841.200     -3894.677     -0.400     0.006
256.000     -1841.600     -3896.962     -0.400     0.006
256.000     -1846.400     -3924.377     -0.400     0.006
256.000     -1842.000     -3899.231     -0.400     0.006
256.000     -1842.800     -3903.785     -0.400     0.006
256.000     -1843.200     -3906.063     -0.400     0.006
256.000     -1843.600     -3908.354     -0.400     0.006
256.000     -1844.000     -3910.637     -0.400     0.006
256.000     -1844.400     -3912.910     -0.400     0.006
256.000     -1844.800     -3915.204     -0.400     0.006
256.000     -1845.200     -3917.486     -0.400     0.006
256.000     -1845.600     -3919.775     -0.400     0.006
256.000     -1842.400     -3901.522     -0.400     0.006
256.000     -1751.600     -3412.846     -0.400     0.006
256.000     -1751.200     -3410.820     -0.400     0.006
256.000     -1750.800     -3408.776     -0.400     0.006
256.000     -1657.200     -2970.315     -0.400     0.006
256.000     -1657.600     -2972.017     -0.400     0.006
256.000     -1658.000     -2973.714     -0.400     0.006
256.000     -1658.400     -2975.420     -0.400     0.006
256.000     -1658.800     -2977.120     -0.400     0.006
256.000     -1659.200     -2978.822     -0.400     0.006
256.000     -1659.600     -2980.528     -0.400     0.006
256.000     -1660.000     -2982.235     -0.400     0.006
256.000     -1660.400     -2983.947     -0.400     0.006
256.000     -1660.800     -2985.658     -0.400     0.006
256.000     -1661.200     -2987.370     -0.400     0.006
256.000     -1661.600     -2989.086     -0.400     0.006
256.000     -1662.000     -2990.801     -0.400     0.006
256.000     -1662.400     -2992.510     -0.400     0.006
256.000     -1662.800     -2994.230     -0.400     0.006
256.000     -1663.200     -2995.950     -0.400     0.006
256.000     -1663.600     -2997.671     -0.400     0.006
256.000     -1656.800     -2968.617     -0.400     0.006
256.000     -1656.400     -2966.918     -0.400     0.006
256.000     -1656.000     -2965.219     -0.400     0.006
256.000     -1655.600     -2963.522     -0.400     0.006
256.000     -1648.400     -2949.143     -0.400     0.006
256.000     -1648.800     -2950.709     -0.400     0.006
256.000     -1649.200     -2952.264     -0.400     0.006
256.000     -1649.600     -2953.824     -0.400     0.006
256.000     -1650.000     -2939.856     -0.400     0.006
256.000     -1650.400     -2941.540     -0.400     0.006
256.000     -1650.800     -2943.235     -0.400     0.006
256.000     -1651.200     -2944.922     -0.400     0.006
256.000     -1664.000     -2999.388     -0.400     0.006
256.000     -1651.600     -2946.608     -0.400     0.006
256.000     -1652.400     -2949.985     -0.400     0.006
256.000     -1652.800     -2951.682     -0.400     0.006
256.000     -1653.200     -2953.368     -0.400     0.006
256.000     -1653.600     -2955.063     -0.400     0.006
256.000     -1654.000     -2956.749     -0.400     0.006
256.000     -1654.400     -2958.446     -0.400     0.006
256.000     -1654.800     -2960.141     -0.400     0.006
256.000     -1655.200     -2961.831     -0.400     0.006
256.000     -1652.000     -2948.296     -0.400     0.006
256.000     -1648.000     -2947.587     -0.400     0.006
256.000     -1664.400     -3001.106     -0.400     0.006
256.000     -1665.200     -3004.549     -0.400     0.006
256.000     -1674.400     -3044.400     -0.400     0.006
256.000     -1674.800     -3046.147     -0.400     0.006
256.000     -1675.200     -3047.883     -0.400     0.006
256.000     -1675.600     -3049.632     -0.400     0.006
256.000     -1676.000     -3051.383     -0.400     0.006
256.000     -1676.400     -3053.116     -0.400     0.006
256.000     -1676.800     -3054.868     -0.400     0.006
256.000     -1677.200     -3056.607     -0.400     0.006
256.000     -1677.600     -3058.355     -0.400     0.006
256.000     -1678.000     -3060.116     -0.400     0.006
256.000     -1678.400     -3061.862     -0.400     0.006
256.000     -1678.800     -3063.615     -0.400     0.006
256.000     -1679.200     -3065.363     -0.400     0.006
256.000     -1679.600     -3067.110     -0.400     0.006
256.000     -1680.000     -3068.857     -0.400     0.006
256.000     -1680.400     -3070.611     -0.400     0.006
256.000     -1680.800     -3072.356     -0.400     0.006
256.000     -1674.000     -3042.664     -0.400     0.006
256.000     -1673.600     -3040.924     -0.400     0.006
256.000     -1673.200     -3039.186     -0.400     0.006
256.000     -1672.800     -3037.442     -0.400     0.006
256.000     -1665.600     -3006.281     -0.400     0.006
256.000     -1666.000     -3008.001     -0.400     0.006
256.000     -1666.400     -3009.727     -0.400     0.006
256.000     -1666.800     -3011.447     -0.400     0.006
256.000     -1667.200     -3013.181     -0.400     0.006
256.000     -1667.600     -3014.905     -0.400     0.006
256.000     -1668.000     -3016.629     -0.400     0.006
256.000     -1668.400     -3018.360     -0.400     0.006
256.000     -1664.800     -3002.826     -0.400     0.006
256.000     -1668.800     -3020.092     -0.400     0.006
256.000     -1669.600     -3023.561     -0.400     0.006
256.000     -1670.000     -3025.291     -0.400     0.006
256.000     -1670.400     -3027.023     -0.400     0.006
256.000     -1670.800     -3028.759     -0.400     0.006
256.000     -1671.200     -3030.497     -0.400     0.006
256.000     -1671.600     -3032.234     -0.400     0.006
256.000     -1672.000     -3033.968     -0.400     0.006
256.000     -1672.400     -3035.707     -0.400     0.006
256.000     -1669.200     -3021.828     -0.400     0.006
256.000     -1647.600     -2946.030     -0.400     0.006
256.000     -1647.200     -2944.469     -0.400     0.006
256.000     -1646.800     -2942.915     -0.400     0.006
256.000     -1622.400     -2849.202     -0.400     0.006
256.000     -1622.800     -2850.718     -0.400     0.006
256.000     -1623.200     -2852.230     -0.400     0.006
256.000     -1623.600     -2853.742     -0.400     0.006
256.000     -1624.000     -2855.259     -0.400     0.006
256.000     -1624.400     -2856.780     -0.400     0.006
256.000     -1624.800     -2858.302     -0.400     0.006
256.000     -1625.200     -2859.819     -0.400     0.006
256.000     -1625.600     -2861.342     -0.400     0.006
256.000     -1626.000     -2862.857     -0.400     0.006
256.000     -1626.400     -2864.380     -0.400     0.006
256.000     -1626.800     -2865.899     -0.400     0.006
256.000     -1627.200     -2867.421     -0.400     0.006
256.000     -1627.600     -2868.945     -0.400     0.006
256.000     -1628.000     -2870.473     -0.400     0.006
256.000     -1628.400     -2871.998     -0.400     0.006
256.000     -1628.800     -2873.521     -0.400     0.006
256.000     -1622.000     -2847.687     -0.400     0.006
256.000     -1621.600     -2846.174     -0.400     0.006
256.000     -1621.200     -2844.667     -0.400     0.006
256.000     -1620.800     -2843.155     -0.400     0.006
256.000     -1613.600     -2815.992     -0.400     0.006
256.000     -1614.000     -2817.497     -0.400     0.006
256.000     -1614.400     -2818.997     -0.400     0.006
256.000     -1614.800     -2820.506     -0.400     0.006
256.000     -1615.200     -2822.009     -0.400     0.006
256.000     -1615.600     -2823.515     -0.400     0.006
256.000     -1616.000     -2825.025     -0.400     0.006
256.000     -1616.400     -2826.535     -0.400     0.006
256.000     -1629.200     -2875.044     -0.400     0.006
256.000     -1616.800     -2828.041     -0.400     0.006
256.000     -1617.600     -2831.060     -0.400     0.006
256.000     -1618.000     -2832.565     -0.400     0.006
256.000     -1618.400     -2834.083     -0.400     0.006
256.000     -1618.800     -2835.598     -0.400     0.006
256.000     -1619.200     -2837.105     -0.400     0.006
256.000     -1619.600     -2838.618     -0.400     0.006
256.000     -1620.000     -2840.127     -0.400     0.006
256.000     -1620.400     -2841.643     -0.400     0.006
256.000     -1617.200     -2829.546     -0.400     0.006
256.000     -1629.600     -2876.572     -0.400     0.006
