# N             E       lndos(E)        epsilon     c_ges
256.000     -1346.000     -1825.778     -0.400     0.001
256.000     -1345.600     -1825.179     -0.400     0.001
256.000     -1345.200     -1824.592     -0.400     0.001
256.000     -1344.800     -1823.985     -0.400     0.001
256.000     -1344.400     -1823.391     -0.400     0.001
256.000     -1344.000     -1822.800     -0.400     0.001
256.000     -1350.000     -1831.715     -0.400     0.001
256.000     -1350.400     -1832.315     -0.400     0.001
256.000     -1350.800     -1832.901     -0.400     0.001
256.000     -1351.200     -1833.491     -0.400     0.001
256.000     -1357.600     -1843.009     -0.400     0.001
256.000     -1357.200     -1842.401     -0.400     0.001
256.000     -1356.800     -1841.812     -0.400     0.001
256.000     -1356.400     -1841.212     -0.400     0.001
256.000     -1356.000     -1840.628     -0.400     0.001
256.000     -1355.600     -1840.017     -0.400     0.001
256.000     -1355.200     -1839.439     -0.400     0.001
256.000     -1358.400     -1844.196     -0.400     0.001
256.000     -1354.800     -1838.845     -0.400     0.001
256.000     -1354.000     -1837.655     -0.400     0.001
256.000     -1353.600     -1837.061     -0.400     0.001
256.000     -1353.200     -1836.469     -0.400     0.001
256.000     -1352.800     -1835.878     -0.400     0.001
256.000     -1352.400     -1835.289     -0.400     0.001
256.000     -1352.000     -1834.676     -0.400     0.001
256.000     -1351.600     -1834.102     -0.400     0.001
256.000     -1354.400     -1838.262     -0.400     0.001
256.000     -1373.600     -1866.849     -0.400     0.001
256.000     -1312.000     -1774.989     -0.400     0.001
256.000     -1311.200     -1773.770     -0.400     0.001
256.000     -1271.600     -1714.626     -0.400     0.001
256.000     -1271.200     -1714.014     -0.400     0.001
256.000     -1270.800     -1713.441     -0.400     0.001
256.000     -1270.400     -1712.837     -0.400     0.001
256.000     -1270.000     -1712.237     -0.400     0.001
256.000     -1269.600     -1711.661     -0.400     0.001
256.000     -1269.200     -1711.069     -0.400     0.001
256.000     -1268.800     -1710.465     -0.400     0.001
256.000     -1268.400     -1709.864     -0.400     0.001
256.000     -1268.000     -1709.283     -0.400     0.001
256.000     -1267.600     -1708.685     -0.400     0.001
256.000     -1267.200     -1708.106     -0.400     0.001
256.000     -1266.800     -1707.507     -0.400     0.001
256.000     -1266.400     -1706.942     -0.400     0.001
256.000     -1266.000     -1706.342     -0.400     0.001
256.000     -1272.000     -1715.221     -0.400     0.001
256.000     -1272.400     -1715.799     -0.400     0.001
256.000     -1272.800     -1716.389     -0.400     0.001
256.000     -1273.200     -1716.978     -0.400     0.001
256.000     -1279.600     -1726.470     -0.400     0.001
256.000     -1279.200     -1725.876     -0.400     0.001
256.000     -1278.800     -1725.280     -0.400     0.001
256.000     -1278.400     -1724.686     -0.400     0.001
256.000     -1278.000     -1724.079     -0.400     0.001
256.000     -1277.600     -1723.502     -0.400     0.001
256.000     -1277.200     -1722.897     -0.400     0.001
256.000     -1265.600     -1705.738     -0.400     0.001
256.000     -1276.800     -1722.305     -0.400     0.001
256.000     -1276.000     -1721.120     -0.400     0.001
256.000     -1275.600     -1720.533     -0.400     0.001
256.000     -1275.200     -1719.936     -0.400     0.001
256.000     -1274.800     -1719.353     -0.400     0.001
256.000     -1274.400     -1718.758     -0.400     0.001
256.000     -1274.000     -1718.150     -0.400     0.001
256.000     -1273.600     -1717.573     -0.400     0.001
256.000     -1276.400     -1721.718     -0.400     0.001
256.000     -1280.000     -1727.069     -0.400     0.001
256.000     -1265.200     -1705.148     -0.400     0.001
256.000     -1264.400     -1703.978     -0.400     0.001
256.000     -1256.000     -1691.566     -0.400     0.001
256.000     -1255.600     -1690.976     -0.400     0.001
256.000     -1255.200     -1690.389     -0.400     0.001
256.000     -1254.800     -1689.798     -0.400     0.001
256.000     -1254.400     -1689.205     -0.400     0.001
256.000     -1254.000     -1688.613     -0.400     0.001
256.000     -1253.600     -1688.031     -0.400     0.001
256.000     -1253.200     -1687.444     -0.400     0.001
256.000     -1252.800     -1686.851     -0.400     0.001
256.000     -1252.400     -1686.266     -0.400     0.001
256.000     -1252.000     -1685.679     -0.400     0.001
256.000     -1251.600     -1685.086     -0.400     0.001
256.000     -1251.200     -1684.498     -0.400     0.001
256.000     -1250.800     -1683.901     -0.400     0.001
256.000     -1250.400     -1683.302     -0.400     0.001
256.000     -1256.400     -1692.153     -0.400     0.001
