# LinearChain_N256_E-0.4_c91_PerXYZ128_Solvent_006v010.bfm
# MCS: 61500000
# f0: 1.01
# f: 1.000000075915
# Iteration17
# histogram: [-30001.05 ; 1.05 ; 300021 ]
# 
-1499.6	257857.460973332
-1499.2	257857.974158224
-1498.8	257858.506995527
-1498.4	257858.998058464
-1498	257859.534560865
-1497.6	257860.041453968
-1497.2	257860.560460631
-1496.8	257861.081592507
-1496.4	257861.578191559
-1496	257862.101148267
-1495.6	257862.606827038
-1495.2	257863.114241696
-1494.8	257863.65102122
-1494.4	257864.144404285
-1494	257864.666498221
-1493.6	257865.181199102
-1493.2	257865.691329917
-1492.8	257866.20090404
-1492.4	257866.74409165
-1492	257867.250948553
-1491.6	257867.766417648
-1491.2	257868.295150195
-1490.8	257868.803848758
-1490.4	257869.324355813
-1490	257869.837412244
-1489.6	257870.350824614
-1489.2	257870.855049891
-1488.8	257871.367017941
-1488.4	257871.879526447
-1488	257872.403079106
-1487.6	257872.913203373
-1487.2	257873.428254666
-1486.8	257873.940537903
-1486.4	257874.446182061
-1486	257874.959122823
-1485.6	257875.474590769
-1485.2	257875.965680838
-1484.8	257876.472199702
-1484.4	257876.990186749
-1484	257877.503828119
-1483.6	257878.014049198
-1483.2	257878.521451637
-1482.8	257879.03841764
-1482.4	257879.540928311
-1482	257880.035256752
-1481.6	257880.559530812
-1481.2	257881.065474013
-1480.8	257881.590139575
-1480.4	257882.088005373
-1480	257882.59281347
-1479.6	257883.117420143
-1479.2	257883.614629946
-1478.8	257884.123539025
-1478.4	257884.649800148
-1478	257885.145714522
-1477.6	257885.64425723
-1477.2	257886.160998421
-1476.8	257886.677478827
-1476.4	257887.177554561
-1476	257887.698735695
-1475.6	257888.191480057
-1475.2	257888.693292168
-1474.8	257889.207351734
-1474.4	257889.717308195
-1474	257890.228975761
-1473.6	257890.730780756
-1473.2	257891.244238363
-1472.8	257891.751190802
-1472.4	257892.265101906
-1472	257892.777059475
-1471.6	257893.292664453
-1471.2	257893.789482649
-1470.8	257894.293046355
-1470.4	257894.806876286
