# c       Rg2
0.002000            197.013100
0.003000            167.851650
0.004000            166.071580
0.006000            165.756970
0.008000            172.042030
0.011000            166.266750
0.016000            159.669760
0.023000            153.384920
0.032000            141.679840
0.045000            133.758650
0.064000            116.055600
0.091000            86.831031
0.128000            57.091509
