# <nContacts>            epsilon
8.31109000     0.01000000
9.36547000     0.05000000
10.95510000     0.10000000
12.84920000     0.15000000
15.01510000     0.20000000
17.53410000     0.25000000
20.64560000     0.30000000
24.28880000     0.35000000
28.59220000     0.40000000
33.60320000     0.45000000
39.95970000     0.50000000
47.42450000     0.55000000
56.14660000     0.60000000
66.76770000     0.65000000
79.81850000     0.70000000
94.16030000     0.75000000
111.65000000     0.80000000
132.65400000     0.85000000
157.90200000     0.90000000
186.81700000     0.95000000
221.35100000     1.00000000
262.21300000     1.05000000
308.98500000     1.10000000
363.51600000     1.15000000
423.27700000     1.20000000
494.03900000     1.25000000
572.09700000     1.30000000
657.68600000     1.35000000
754.03600000     1.40000000
859.47600000     1.45000000
970.95800000     1.50000000
1092.15000000     1.55000000
1216.30000000     1.60000000
1346.87000000     1.65000000
1479.36000000     1.70000000
1617.03000000     1.75000000
1758.23000000     1.80000000
1892.70000000     1.85000000
2029.66000000     1.90000000
2158.13000000     1.95000000
2289.95000000     2.00000000
2418.03000000     2.05000000
2535.98000000     2.10000000
2656.29000000     2.15000000
2761.49000000     2.20000000
2868.40000000     2.25000000
2963.94000000     2.30000000
3054.73000000     2.35000000
3139.53000000     2.40000000
3217.65000000     2.45000000
3299.10000000     2.50000000
3363.42000000     2.55000000
3427.04000000     2.60000000
3486.48000000     2.65000000
3539.91000000     2.70000000
3589.97000000     2.75000000
3636.92000000     2.80000000
3679.68000000     2.85000000
3717.74000000     2.90000000
3753.21000000     2.95000000
3781.17000000     3.00000000
3787.92000000     3.01000000
3812.02000000     3.05000000
3840.33000000     3.10000000
3908.62000000     3.25000000
3923.52000000     3.30000000
3941.38000000     3.35000000
3956.81000000     3.40000000
3967.96000000     3.45000000
3982.09000000     3.50000000
3992.81000000     3.55000000
4004.81000000     3.60000000
4013.69000000     3.65000000
4022.19000000     3.70000000
4029.95000000     3.75000000
4037.60000000     3.80000000
4044.51000000     3.85000000
4049.26000000     3.90000000
4054.63000000     3.95000000
4057.16000000     4.00000000
4062.82000000     4.05000000
4065.01000000     4.10000000
4069.25000000     4.15000000
4074.75000000     4.20000000
4076.83000000     4.25000000
4079.92000000     4.30000000
4082.72000000     4.35000000
4081.56000000     4.40000000
4085.95000000     4.45000000
4087.19000000     4.50000000
4087.70000000     4.55000000
4090.90000000     4.60000000
4091.79000000     4.65000000
4094.17000000     4.70000000
4095.13000000     4.75000000
4096.90000000     4.80000000
4096.69000000     4.85000000
4097.81000000     4.90000000
4098.25000000     4.95000000
4100.01000000     5.00000000
4100.84000000     5.05000000
4100.46000000     5.10000000
4100.31000000     5.15000000
4101.71000000     5.20000000
4100.55000000     5.25000000
4102.14000000     5.30000000
4102.15000000     5.35000000
4103.00000000     5.40000000
4101.24000000     5.45000000
4102.83000000     5.50000000
4102.34000000     5.55000000
4103.00000000     5.60000000
4103.03000000     5.65000000
4101.95000000     5.70000000
4102.89000000     5.75000000
4102.65000000     5.80000000
4102.98000000     5.85000000
4103.17000000     5.90000000
4102.95000000     5.95000000
4103.25000000     6.00000000
4103.23000000     6.05000000
4103.14000000     6.10000000
4103.18000000     6.15000000
4102.84000000     6.20000000
4103.32000000     6.25000000
4103.41000000     6.30000000
4103.46000000     6.35000000
4103.35000000     6.40000000
4103.16000000     6.45000000
4103.16000000     6.50000000
4103.45000000     6.55000000
4103.18000000     6.60000000
4102.87000000     6.65000000
4103.18000000     6.70000000
4103.20000000     6.75000000
4103.19000000     6.80000000
4103.29000000     6.85000000
4103.60000000     6.90000000
4103.08000000     6.95000000
4103.60000000     7.00000000
4103.07000000     7.05000000
4103.12000000     7.10000000
4103.11000000     7.15000000
4103.12000000     7.20000000
4103.27000000     7.25000000
4103.52000000     7.30000000
4103.45000000     7.35000000
4103.08000000     7.40000000
4103.45000000     7.45000000
4103.32000000     7.50000000
4102.98000000     7.55000000
4103.59000000     7.60000000
4103.42000000     7.65000000
4103.49000000     7.70000000
4103.42000000     7.75000000
4103.30000000     7.80000000
4103.50000000     7.85000000
4103.33000000     7.90000000
4103.39000000     7.95000000
4103.11000000     8.00000000
4103.04000000     8.05000000
