# phi            epsilon
0.00202512     0.01000000
0.00228203     0.05000000
0.00266937     0.10000000
0.00313091     0.15000000
0.00365866     0.20000000
0.00427243     0.25000000
0.00503060     0.30000000
0.00591833     0.35000000
0.00696692     0.40000000
0.00818791     0.45000000
0.00973677     0.50000000
0.01155570     0.55000000
0.01368090     0.60000000
0.01626890     0.65000000
0.01944900     0.70000000
0.02294360     0.75000000
0.02720510     0.80000000
0.03232300     0.85000000
0.03847510     0.90000000
0.04552070     0.95000000
0.05393550     1.00000000
0.06389210     1.05000000
0.07528870     1.10000000
0.08857590     1.15000000
0.10313800     1.20000000
0.12038000     1.25000000
0.13940000     1.30000000
0.16025500     1.35000000
0.18373200     1.40000000
0.20942400     1.45000000
0.23658800     1.50000000
0.26611900     1.55000000
0.29637000     1.60000000
0.32818400     1.65000000
0.36046700     1.70000000
0.39401300     1.75000000
0.42841700     1.80000000
0.46118300     1.85000000
0.49455500     1.90000000
0.52585900     1.95000000
0.55797900     2.00000000
0.58918800     2.05000000
0.61792900     2.10000000
0.64724500     2.15000000
0.67287700     2.20000000
0.69892800     2.25000000
0.72220700     2.30000000
0.74432900     2.35000000
0.76499200     2.40000000
0.78402700     2.45000000
0.80387400     2.50000000
0.81954800     2.55000000
0.83504900     2.60000000
0.84953300     2.65000000
0.86255100     2.70000000
0.87475000     2.75000000
0.88618800     2.80000000
0.89660800     2.85000000
0.90588100     2.90000000
0.91452500     2.95000000
0.92133700     3.00000000
0.98899200     4.00000000
0.99975400     6.00000000
0.99982800     8.00000000
