# <(nContacts>/<nCoS In NNShell>            epsilon
2.66730664     0.01000000
2.70489863     0.05000000
2.75438950     0.10000000
2.80053681     0.15000000
2.84785823     0.20000000
2.90140347     0.25000000
2.94839952     0.30000000
2.99693690     0.35000000
3.04726666     0.40000000
3.09943479     0.45000000
3.14770357     0.50000000
3.19550884     0.55000000
3.24436635     0.60000000
3.29081976     0.65000000
3.33715386     0.70000000
3.38025792     0.75000000
3.42081261     0.80000000
3.46221214     0.85000000
3.50048894     0.90000000
3.53644632     0.95000000
3.57191959     1.00000000
3.60455689     1.05000000
3.63533759     1.10000000
3.66447863     1.15000000
3.69161292     1.20000000
3.71664192     1.25000000
3.74009285     1.30000000
3.76174312     1.35000000
3.78169889     1.40000000
3.80074070     1.45000000
3.81766765     1.50000000
3.83360008     1.55000000
3.84831953     1.60000000
3.86150263     1.65000000
3.87381956     1.70000000
3.88507164     1.75000000
3.89540332     1.80000000
3.90471008     1.85000000
3.91333191     1.90000000
3.92117638     1.95000000
3.92834459     2.00000000
3.93488898     2.05000000
3.94079827     2.10000000
3.94624889     2.15000000
3.95110385     2.20000000
3.95559995     2.25000000
3.95972911     2.30000000
3.96342592     2.35000000
3.96678598     2.40000000
3.96989240     2.45000000
3.97268947     2.50000000
3.97524477     2.55000000
3.97753563     2.60000000
3.97959295     2.65000000
3.98150229     2.70000000
3.98324194     2.75000000
3.98482232     2.80000000
3.98624793     2.85000000
3.98754810     2.90000000
3.98867945     2.95000000
3.98975295     3.00000000
3.98994198     3.01000000
3.99068600     3.05000000
3.99158026     3.10000000
3.99236522     3.15000000
3.99306284     3.20000000
3.99370688     3.25000000
3.99430784     3.30000000
3.99483860     3.35000000
3.99532233     3.40000000
3.99575546     3.45000000
3.99614388     3.50000000
3.99650837     3.55000000
3.99684640     3.60000000
3.99713932     3.65000000
3.99741457     3.70000000
3.99764655     3.75000000
3.99786249     3.80000000
3.99806376     3.85000000
3.99823217     3.90000000
3.99839434     3.95000000
3.99854050     4.00000000
3.99867753     4.05000000
3.99879748     4.10000000
3.99891054     4.15000000
3.99901844     4.20000000
3.99910657     4.25000000
3.99918711     4.30000000
3.99925626     4.35000000
3.99931131     4.40000000
3.99938867     4.45000000
3.99944977     4.50000000
3.99950082     4.55000000
3.99952179     4.60000000
3.99958190     4.65000000
3.99959105     4.70000000
3.99964112     4.75000000
3.99969149     4.80000000
3.99969193     4.85000000
3.99973148     4.90000000
3.99977139     4.95000000
3.99977137     5.00000000
3.99980126     5.05000000
3.99982138     5.10000000
3.99981188     5.15000000
3.99984129     5.20000000
3.99985138     5.25000000
3.99989086     5.30000000
3.99991098     5.35000000
3.99989106     5.40000000
3.99992086     5.45000000
3.99993068     5.50000000
3.99993093     5.55000000
3.99994060     5.60000000
3.99994065     5.65000000
3.99993085     5.70000000
3.99994064     5.75000000
3.99992086     5.80000000
3.99993093     5.85000000
3.99996040     5.90000000
3.99994075     5.95000000
3.99997041     6.00000000
3.99995059     6.05000000
3.99994066     6.10000000
3.99995057     6.15000000
3.99997034     6.20000000
3.99998021     6.25000000
4.00000000     6.30000000
3.99997030     6.35000000
3.99997036     6.40000000
3.99996049     6.45000000
3.99998023     6.50000000
3.99996048     6.55000000
3.99996049     6.60000000
3.99998023     6.65000000
3.99996044     6.70000000
3.99999011     6.75000000
3.99997034     6.80000000
4.00000000     6.85000000
3.99996050     6.90000000
3.99997031     6.95000000
3.99999013     7.00000000
3.99999011     7.05000000
3.99998024     7.10000000
3.99991105     7.15000000
3.99999012     7.20000000
3.99998019     7.25000000
3.99998024     7.30000000
3.99996048     7.35000000
3.99999011     7.40000000
3.99999011     7.45000000
3.99999011     7.50000000
3.99998025     7.55000000
3.99998026     7.60000000
3.99996047     7.65000000
4.00000987     7.70000000
3.99999010     7.75000000
4.00000987     7.80000000
4.00000989     7.85000000
3.99996048     7.90000000
4.00001980     7.95000000
3.99998019     8.00000000
4.00000000     8.05000000
