# <nCoS In NNShell>             -epsilon
1.55735000             0.01000000
1.74008000             0.05000000
1.98371000             0.10000000
2.28388000             0.15000000
2.61092000             0.20000000
3.02536000             0.25000000
3.50675000             0.30000000
4.04166000             0.35000000
4.71347000             0.40000000
5.46519000             0.45000000
6.35638000             0.50000000
7.47424000             0.55000000
8.70173000             0.60000000
10.25790000             0.65000000
11.99660000             0.70000000
14.10490000             0.75000000
16.70910000             0.80000000
19.57110000             0.85000000
23.11140000             0.90000000
27.34570000             0.95000000
32.58500000             1.00000000
38.11370000             1.05000000
44.65500000             1.10000000
52.95460000             1.15000000
61.75810000             1.20000000
72.80470000             1.25000000
84.11850000             1.30000000
98.63220000             1.35000000
113.54500000             1.40000000
130.41800000             1.45000000
150.28600000             1.50000000
170.57700000             1.55000000
192.65500000             1.60000000
216.82000000             1.65000000
243.65900000             1.70000000
269.24600000             1.75000000
297.71500000             1.80000000
325.30200000             1.85000000
355.74800000             1.90000000
384.91000000             1.95000000
412.50200000             2.00000000
442.47500000             2.05000000
471.27000000             2.10000000
500.67800000             2.15000000
528.01700000             2.20000000
554.63900000             2.25000000
578.83000000             2.30000000
605.29200000             2.35000000
629.73400000             2.40000000
650.93200000             2.45000000
674.39200000             2.50000000
696.17600000             2.55000000
715.35500000             2.60000000
733.08000000             2.65000000
752.09300000             2.70000000
768.10800000             2.75000000
785.23200000             2.80000000
798.42500000             2.85000000
813.20900000             2.90000000
826.10800000             2.95000000
838.29000000             3.00000000
841.12000000             3.01000000
850.54800000             3.05000000
861.78400000             3.10000000
872.06200000             3.15000000
881.91700000             3.20000000
890.49600000             3.25000000
900.18600000             3.30000000
907.89400000             3.35000000
914.55700000             3.40000000
922.12600000             3.45000000
928.39500000             3.50000000
934.23300000             3.55000000
938.61000000             3.60000000
943.83000000             3.65000000
949.93900000             3.70000000
955.19200000             3.75000000
959.06000000             3.80000000
963.72400000             3.85000000
967.28500000             3.90000000
970.31700000             3.95000000
972.93500000             4.00000000
976.96300000             4.05000000
979.60700000             4.10000000
982.14000000             4.15000000
984.14400000             4.20000000
987.20800000             4.25000000
989.06100000             4.30000000
992.28200000             4.35000000
993.18600000             4.40000000
994.55200000             4.45000000
995.95200000             4.50000000
997.64200000             4.55000000
999.55200000             4.60000000
999.76700000             4.65000000
1002.56000000             4.70000000
1003.12000000             4.75000000
1004.82000000             4.80000000
1006.28000000             4.85000000
1005.52000000             4.90000000
1006.06000000             4.95000000
1006.01000000             5.00000000
1006.36000000             5.05000000
1007.72000000             5.10000000
1010.02000000             5.15000000
1008.11000000             5.20000000
1009.31000000             5.25000000
1007.88000000             5.30000000
1011.05000000             5.35000000
1009.70000000             5.40000000
1010.87000000             5.45000000
1009.81000000             5.50000000
1013.44000000             5.55000000
1010.18000000             5.60000000
1010.96000000             5.65000000
1012.31000000             5.70000000
1010.84000000             5.75000000
1010.88000000             5.80000000
1013.42000000             5.85000000
1010.01000000             5.90000000
1012.63000000             5.95000000
1013.87000000             6.00000000
1012.03000000             6.05000000
1011.10000000             6.10000000
1011.54000000             6.15000000
1011.58000000             6.20000000
1010.70000000             6.25000000
1012.36000000             6.30000000
1010.14000000             6.35000000
1012.21000000             6.40000000
1012.37000000             6.45000000
1011.40000000             6.50000000
1012.04000000             6.55000000
1012.49000000             6.60000000
1011.50000000             6.65000000
1011.20000000             6.70000000
1011.30000000             6.75000000
1011.50000000             6.80000000
1010.85000000             6.85000000
1012.76000000             6.90000000
1010.47000000             6.95000000
1012.69000000             7.00000000
1011.30000000             7.05000000
1012.04000000             7.10000000
1011.85000000             7.15000000
1011.88000000             7.20000000
1009.81000000             7.25000000
1012.13000000             7.30000000
1012.04000000             7.35000000
1011.16000000             7.40000000
1011.17000000             7.45000000
1011.35000000             7.50000000
1012.45000000             7.55000000
1013.31000000             7.60000000
1011.90000000             7.65000000
1013.01000000             7.70000000
1010.10000000             7.75000000
1012.84000000             7.80000000
1011.63000000             7.85000000
1012.25000000             7.90000000
1010.26000000             7.95000000
1009.34000000             8.00000000
1013.02000000             8.05000000
