# <(nContacts>/<nCoS In NNShell>            epsilon
2.67274969     0.01000000
2.69928235     0.05000000
2.75471373     0.10000000
2.79600018     0.15000000
2.85029762     0.20000000
2.90044670     0.25000000
2.94697607     0.30000000
2.99642757     0.35000000
3.04639188     0.40000000
3.10070175     0.45000000
3.14666780     0.50000000
3.19729018     0.55000000
3.24360610     0.60000000
3.29179135     0.65000000
3.33558331     0.70000000
3.37991883     0.75000000
3.42305606     0.80000000
3.46129741     0.85000000
3.50035451     0.90000000
3.53792321     0.95000000
3.57155677     1.00000000
3.60436382     1.05000000
3.63625279     1.10000000
3.66436659     1.15000000
3.69073671     1.20000000
3.71606119     1.25000000
3.74033948     1.30000000
3.76177487     1.35000000
3.78214344     1.40000000
3.80067136     1.45000000
3.81789006     1.50000000
3.83371713     1.55000000
3.84843526     1.60000000
3.86172904     1.65000000
3.87419325     1.70000000
3.88545458     1.75000000
3.89568969     1.80000000
3.90515291     1.85000000
3.91376788     1.90000000
3.92164355     1.95000000
3.92880835     2.00000000
3.93535283     2.05000000
3.94109416     2.10000000
3.94667152     2.15000000
3.95169062     2.20000000
3.95619359     2.25000000
3.96023518     2.30000000
3.96394984     2.35000000
3.96733235     2.40000000
3.97038733     2.45000000
3.97316673     2.50000000
3.97566128     2.55000000
3.97796298     2.60000000
3.98006002     2.65000000
3.98191002     2.70000000
3.98361192     2.75000000
3.98519273     2.80000000
3.98656115     2.85000000
3.98786722     2.90000000
3.98901408     2.95000000
3.99006907     3.00000000
3.99024319     3.01000000
3.99099586     3.05000000
3.99184790     3.10000000
3.99260776     3.15000000
3.99333259     3.20000000
3.99394083     3.25000000
3.99456527     3.30000000
3.99505532     3.35000000
3.99553299     3.40000000
3.99594879     3.45000000
3.99634023     3.50000000
3.99667189     3.55000000
3.99699458     3.60000000
3.99726462     3.65000000
3.99755712     3.70000000
3.99778124     3.75000000
3.99798559     3.80000000
3.99818132     3.85000000
3.99834191     3.90000000
3.99851417     3.95000000
3.99864338     4.00000000
3.99879262     4.05000000
3.99889429     4.10000000
3.99900330     4.15000000
3.99910535     4.20000000
3.99918317     4.25000000
3.99925368     4.30000000
3.99933219     4.35000000
3.99938679     4.40000000
3.99944114     4.45000000
3.99950382     4.50000000
3.99954295     4.55000000
3.99959372     4.60000000
3.99963267     4.65000000
3.99967179     4.70000000
3.99968748     4.75000000
3.99972267     4.80000000
3.99976169     4.85000000
3.99977347     4.90000000
3.99979292     4.95000000
3.99980857     5.00000000
3.99983595     5.05000000
3.99985156     5.10000000
3.99986724     5.15000000
3.99987111     5.20000000
3.99988285     5.25000000
3.99989060     5.30000000
3.99992189     5.35000000
3.99991401     5.40000000
3.99992578     5.45000000
3.99994139     5.50000000
3.99994532     5.55000000
3.99994530     5.60000000
3.99994533     5.65000000
3.99996094     5.70000000
3.99995313     5.75000000
3.99995705     5.80000000
3.99997265     5.85000000
3.99997656     5.90000000
3.99997265     5.95000000
3.99997266     6.00000000
3.99998828     6.05000000
3.99997266     6.10000000
3.99997656     6.15000000
3.99998828     6.20000000
3.99999609     6.25000000
3.99998437     6.30000000
3.99998828     6.35000000
3.99999219     6.40000000
3.99998438     6.45000000
4.00000000     6.50000000
3.99998048     6.55000000
3.99998438     6.60000000
4.00000000     6.65000000
4.00000000     6.70000000
3.99998828     6.75000000
3.99998828     6.80000000
3.99999609     6.85000000
3.99998828     6.90000000
3.99998828     6.95000000
4.00000000     7.00000000
3.99999219     7.05000000
3.99999219     7.10000000
4.00000391     7.15000000
4.00000000     7.20000000
4.00000391     7.25000000
3.99999219     7.30000000
4.00000781     7.35000000
4.00000391     7.40000000
3.99999609     7.45000000
4.00000391     7.50000000
3.99998828     7.55000000
4.00000391     7.60000000
4.00000000     7.65000000
3.99999609     7.70000000
3.99999609     7.75000000
3.99999609     7.80000000
3.99999609     7.85000000
3.99999609     7.90000000
4.00000391     7.95000000
4.00000782     8.00000000
4.00000391     8.05000000
