# <nCoS In NNShell>             epsilon
0.78250500             0.01000000
0.86114000             0.05000000
0.98807000             0.10000000
1.13255000             0.15000000
1.30873000             0.20000000
1.49317000             0.25000000
1.75864000             0.30000000
2.00424000             0.35000000
2.34998000             0.40000000
2.76311000             0.45000000
3.16668000             0.50000000
3.74195000             0.55000000
4.36471000             0.60000000
5.13617000             0.65000000
6.05933000             0.70000000
7.13813000             0.75000000
8.36986000             0.80000000
9.98822000             0.85000000
11.70630000             0.90000000
13.93210000             0.95000000
16.60360000             1.00000000
19.49670000             1.05000000
23.04540000             1.10000000
27.44840000             1.15000000
32.44420000             1.20000000
37.96170000             1.25000000
44.69220000             1.30000000
52.38910000             1.35000000
60.93000000             1.40000000
70.81170000             1.45000000
82.94660000             1.50000000
95.05970000             1.55000000
108.77200000             1.60000000
123.35200000             1.65000000
140.22300000             1.70000000
157.43100000             1.75000000
175.20800000             1.80000000
194.49200000             1.85000000
213.30800000             1.90000000
233.44600000             1.95000000
254.45400000             2.00000000
274.22700000             2.05000000
293.01000000             2.10000000
313.41600000             2.15000000
331.03300000             2.20000000
350.31400000             2.25000000
364.99600000             2.30000000
382.68900000             2.35000000
397.33500000             2.40000000
410.63500000             2.45000000
423.35500000             2.50000000
436.01300000             2.55000000
445.16000000             2.60000000
454.86500000             2.65000000
463.68200000             2.70000000
470.34200000             2.75000000
476.92800000             2.80000000
482.33300000             2.85000000
487.11000000             2.90000000
491.17400000             2.95000000
494.41500000             3.00000000
495.65400000             3.01000000
497.32700000             3.05000000
499.99400000             3.10000000
502.68900000             3.15000000
503.34400000             3.20000000
505.02000000             3.25000000
506.00500000             3.30000000
507.21200000             3.35000000
508.61800000             3.40000000
508.49000000             3.45000000
509.32100000             3.50000000
509.59900000             3.55000000
510.41100000             3.60000000
510.34900000             3.65000000
510.87200000             3.70000000
511.09600000             3.75000000
511.31500000             3.80000000
511.36000000             3.85000000
511.43200000             3.90000000
511.50000000             3.95000000
511.56600000             4.00000000
511.85200000             4.05000000
511.88900000             4.10000000
511.69000000             4.15000000
511.93200000             4.20000000
511.73700000             4.25000000
511.84300000             4.30000000
512.12300000             4.35000000
512.05600000             4.40000000
511.75400000             4.45000000
511.91600000             4.50000000
511.98100000             4.55000000
511.95700000             4.60000000
511.80700000             4.65000000
511.86700000             4.70000000
511.96500000             4.75000000
512.02800000             4.80000000
511.93800000             4.85000000
512.07400000             4.90000000
511.88400000             4.95000000
511.93700000             5.00000000
512.04100000             5.05000000
511.99400000             5.10000000
512.21200000             5.15000000
512.06400000             5.20000000
512.16000000             5.25000000
511.86900000             5.30000000
512.07500000             5.35000000
511.67600000             5.40000000
511.99700000             5.45000000
511.86500000             5.50000000
512.06200000             5.55000000
511.85200000             5.60000000
512.13700000             5.65000000
512.03000000             5.70000000
512.07600000             5.75000000
512.17800000             5.80000000
511.96100000             5.85000000
511.85300000             5.90000000
511.91600000             5.95000000
512.12600000             6.00000000
511.89400000             6.05000000
511.99100000             6.10000000
511.91800000             6.15000000
511.92400000             6.20000000
511.67800000             6.25000000
511.83700000             6.30000000
512.05400000             6.35000000
511.85100000             6.40000000
512.09200000             6.45000000
511.78000000             6.50000000
512.17000000             6.55000000
512.05200000             6.60000000
512.04500000             6.65000000
512.02500000             6.70000000
511.83400000             6.75000000
511.99900000             6.80000000
512.07800000             6.85000000
511.85900000             6.90000000
512.03900000             6.95000000
512.08500000             7.00000000
511.94100000             7.05000000
512.02100000             7.10000000
511.98200000             7.15000000
511.97000000             7.20000000
511.97700000             7.25000000
511.96100000             7.30000000
511.92900000             7.35000000
512.01200000             7.40000000
511.90800000             7.45000000
512.02200000             7.50000000
512.02400000             7.55000000
511.99700000             7.60000000
511.99500000             7.65000000
511.81300000             7.70000000
511.94300000             7.75000000
511.99300000             7.80000000
512.06300000             7.85000000
511.89300000             7.90000000
512.07200000             7.95000000
511.63900000             8.00000000
512.16200000             8.05000000
