# phi            epsilon
0.00101217     0.01000000
0.00114687     0.05000000
0.00133136     0.10000000
0.00155850     0.15000000
0.00181178     0.20000000
0.00213884     0.25000000
0.00251932     0.30000000
0.00295141     0.35000000
0.00349981     0.40000000
0.00412744     0.45000000
0.00487524     0.50000000
0.00581968     0.55000000
0.00687906     0.60000000
0.00822537     0.65000000
0.00975499     0.70000000
0.01161750     0.75000000
0.01392760     0.80000000
0.01651050     0.85000000
0.01971280     0.90000000
0.02356400     0.95000000
0.02836030     1.00000000
0.03347530     1.05000000
0.03955560     1.10000000
0.04728340     1.15000000
0.05555230     1.20000000
0.06593300     1.25000000
0.07665960     1.30000000
0.09040660     1.35000000
0.10462800     1.40000000
0.12078100     1.45000000
0.13980100     1.50000000
0.15933800     1.55000000
0.18065300     1.60000000
0.20400900     1.65000000
0.22999300     1.70000000
0.25488300     1.75000000
0.28258200     1.80000000
0.30950700     1.85000000
0.33922000     1.90000000
0.36776400     1.95000000
0.39484800     2.00000000
0.42424100     2.05000000
0.45253000     2.10000000
0.48143200     2.15000000
0.50834600     2.20000000
0.53458300     2.25000000
0.55848100     2.30000000
0.58455900     2.35000000
0.60867900     2.40000000
0.62966000     2.45000000
0.65281400     2.50000000
0.67433500     2.55000000
0.69331200     2.60000000
0.71085800     2.65000000
0.72964400     2.70000000
0.74550800     2.75000000
0.76242900     2.80000000
0.77551500     2.85000000
0.79013300     2.90000000
0.80289400     2.95000000
0.81495300     3.00000000
0.94900900     4.00000000
0.98418400     6.00000000
0.98647500     8.00000000
