# <nContacts>            epsilon
4.15393000     0.01000000
4.70674000     0.05000000
5.46391000     0.10000000
6.39609000     0.15000000
7.43553000     0.20000000
8.77779000     0.25000000
10.33930000     0.30000000
12.11260000     0.35000000
14.36320000     0.40000000
16.93900000     0.45000000
20.00800000     0.50000000
23.88400000     0.55000000
28.23160000     0.60000000
33.75690000     0.65000000
40.03450000     0.70000000
47.67820000     0.75000000
57.15870000     0.80000000
67.75930000     0.85000000
80.90120000     0.90000000
96.70660000     0.95000000
116.39100000     1.00000000
137.38300000     1.05000000
162.33600000     1.10000000
194.05100000     1.15000000
227.98700000     1.20000000
270.58900000     1.25000000
314.61100000     1.30000000
371.02900000     1.35000000
429.39300000     1.40000000
495.68500000     1.45000000
573.74200000     1.50000000
653.92400000     1.55000000
741.39800000     1.60000000
837.25100000     1.65000000
943.89100000     1.70000000
1046.04000000     1.75000000
1159.72000000     1.80000000
1270.21000000     1.85000000
1392.16000000     1.90000000
1509.30000000     1.95000000
1620.45000000     2.00000000
1741.09000000     2.05000000
1857.18000000     2.10000000
1975.80000000     2.15000000
2086.25000000     2.20000000
2193.93000000     2.25000000
2292.01000000     2.30000000
2399.03000000     2.35000000
2498.02000000     2.40000000
2584.13000000     2.45000000
2679.15000000     2.50000000
2767.47000000     2.55000000
2845.35000000     2.60000000
2917.36000000     2.65000000
2994.46000000     2.70000000
3059.56000000     2.75000000
3129.01000000     2.80000000
3182.72000000     2.85000000
3242.71000000     2.90000000
3295.08000000     2.95000000
3344.57000000     3.00000000
3356.02000000     3.01000000
3394.27000000     3.05000000
3439.88000000     3.10000000
3481.59000000     3.15000000
3521.55000000     3.20000000
3556.38000000     3.25000000
3595.62000000     3.30000000
3626.89000000     3.35000000
3653.95000000     3.40000000
3684.59000000     3.45000000
3710.00000000     3.50000000
3733.67000000     3.55000000
3751.48000000     3.60000000
3772.62000000     3.65000000
3797.30000000     3.70000000
3818.52000000     3.75000000
3834.19000000     3.80000000
3853.03000000     3.85000000
3867.43000000     3.90000000
3879.71000000     3.95000000
3890.32000000     4.00000000
3906.56000000     4.05000000
3917.25000000     4.10000000
3927.49000000     4.15000000
3935.61000000     4.20000000
3947.95000000     4.25000000
3955.44000000     4.30000000
3968.39000000     4.35000000
3972.06000000     4.40000000
3977.60000000     4.45000000
3983.26000000     4.50000000
3990.07000000     4.55000000
3997.73000000     4.60000000
3998.65000000     4.65000000
4009.83000000     4.70000000
4012.12000000     4.75000000
4018.97000000     4.80000000
4024.81000000     4.85000000
4021.81000000     4.90000000
4024.01000000     4.95000000
4023.81000000     5.00000000
4025.24000000     5.05000000
4030.70000000     5.10000000
4039.89000000     5.15000000
4032.28000000     5.20000000
4037.09000000     5.25000000
4031.41000000     5.30000000
4044.11000000     5.35000000
4038.69000000     5.40000000
4043.40000000     5.45000000
4039.17000000     5.50000000
4053.69000000     5.55000000
4040.66000000     5.60000000
4043.78000000     5.65000000
4049.17000000     5.70000000
4043.30000000     5.75000000
4043.44000000     5.80000000
4053.61000000     5.85000000
4040.00000000     5.90000000
4050.46000000     5.95000000
4055.45000000     6.00000000
4048.07000000     6.05000000
4044.34000000     6.10000000
4046.11000000     6.15000000
4046.29000000     6.20000000
4042.78000000     6.25000000
4049.44000000     6.30000000
4040.53000000     6.35000000
4048.81000000     6.40000000
4049.44000000     6.45000000
4045.58000000     6.50000000
4048.12000000     6.55000000
4049.92000000     6.60000000
4045.98000000     6.65000000
4044.76000000     6.70000000
4045.19000000     6.75000000
4045.97000000     6.80000000
4043.40000000     6.85000000
4051.00000000     6.90000000
4041.85000000     6.95000000
4050.75000000     7.00000000
4045.19000000     7.05000000
4048.14000000     7.10000000
4047.31000000     7.15000000
4047.51000000     7.20000000
4039.22000000     7.25000000
4048.50000000     7.30000000
4048.12000000     7.35000000
4044.63000000     7.40000000
4044.67000000     7.45000000
4045.39000000     7.50000000
4049.78000000     7.55000000
4053.22000000     7.60000000
4047.56000000     7.65000000
4052.05000000     7.70000000
4040.39000000     7.75000000
4051.37000000     7.80000000
4046.53000000     7.85000000
4048.96000000     7.90000000
4041.06000000     7.95000000
4037.34000000     8.00000000
4052.08000000     8.05000000
