# phi            epsilon
0.00001961     0.01000000
0.00002316     0.05000000
0.00002506     -0.10000000
0.00002978     0.15000000
0.00003593     0.20000000
0.00004226     0.25000000
0.00005024     0.30000000
0.00005824     0.35000000
0.00006520     0.40000000
0.00008099     0.45000000
0.00009499     0.50000000
0.00011413     0.55000000
0.00013129     0.60000000
0.00015724     0.65000000
0.00019599     0.70000000
0.00023677     0.75000000
0.00027190     0.80000000
0.00033875     0.85000000
0.00040169     0.90000000
0.00048235     0.95000000
0.00056553     1.00000000
0.00068158     1.05000000
0.00080478     1.10000000
0.00100106     1.15000000
0.00116527     1.20000000
0.00137079     1.25000000
0.00168483     1.30000000
0.00195483     1.35000000
0.00229727     1.40000000
0.00278730     1.45000000
0.00334816     1.50000000
0.00383174     1.55000000
0.00448672     1.60000000
0.00537864     1.65000000
0.00583539     1.70000000
0.00676508     1.75000000
0.00770353     1.80000000
0.00866095     1.85000000
0.00954044     1.90000000
0.01056880     1.95000000
0.01152300     2.00000000
0.01221140     2.05000000
0.01305950     2.10000000
0.01400730     2.15000000
0.01500340     2.20000000
0.01548860     2.25000000
0.01602940     2.30000000
0.01647620     2.35000000
0.01700740     2.40000000
0.01719650     2.45000000
0.01771060     2.50000000
0.01799340     2.55000000
0.01820800     2.60000000
0.01822200     2.65000000
0.01857860     2.70000000
0.01874440     2.75000000
0.01882620     2.80000000
0.01900340     2.85000000
0.01905190     2.90000000
0.01917070     2.95000000
0.01921740     3.00000000
0.01921820     3.01000000
0.01922160     3.05000000
0.01923220     3.10000000
0.01925780     3.15000000
0.01934960     3.20000000
0.01933800     3.25000000
0.01939650     3.30000000
0.01937840     3.35000000
0.01939450     3.40000000
0.01942340     3.45000000
0.01935940     3.50000000
0.01944810     3.55000000
0.01942290     3.60000000
0.01945580     3.65000000
0.01946950     3.70000000
0.01943130     3.75000000
0.01944410     3.80000000
0.01945980     3.85000000
0.01946470     3.90000000
0.01947750     3.95000000
0.01944360     4.00000000
0.01947200     4.05000000
0.01946130     4.10000000
0.01948540     4.15000000
0.01947690     4.20000000
0.01948260     4.25000000
0.01948170     4.30000000
0.01946970     4.35000000
0.01943610     4.40000000
0.01948930     4.45000000
0.01946010     4.50000000
0.01946550     4.55000000
0.01947520     4.60000000
0.01946990     4.65000000
0.01947560     4.70000000
0.01948450     4.75000000
0.01947940     4.80000000
0.01948000     4.85000000
0.01946250     4.90000000
0.01948030     4.95000000
0.01948630     5.00000000
0.01948060     5.05000000
0.01946740     5.10000000
0.01948610     5.15000000
0.01948500     5.20000000
0.01948710     5.25000000
0.01949140     5.30000000
0.01945600     5.35000000
0.01947340     5.40000000
0.01947260     5.45000000
0.01948490     5.50000000
0.01948090     5.55000000
0.01948160     5.60000000
0.01946730     5.65000000
0.01947040     5.70000000
0.01947410     5.75000000
0.01947080     5.80000000
0.01945350     5.85000000
0.01948080     5.90000000
0.01948380     5.95000000
0.01948590     6.00000000
0.01949310     6.05000000
0.01947300     6.10000000
0.01947220     6.15000000
0.01947560     6.20000000
0.01948790     6.25000000
0.01949030     6.30000000
0.01948170     6.35000000
0.01946900     6.40000000
0.01946110     6.45000000
0.01946490     6.50000000
0.01944790     6.55000000
0.01947010     6.60000000
0.01949290     6.65000000
0.01947310     6.70000000
0.01947500     6.75000000
0.01947870     6.80000000
0.01947240     6.85000000
0.01947920     6.90000000
0.01949320     6.95000000
0.01948540     7.00000000
0.01948840     7.05000000
0.01947780     7.10000000
0.01946640     7.15000000
0.01945790     7.20000000
0.01947300     7.25000000
0.01948850     7.30000000
0.01949320     7.35000000
0.01946040     7.40000000
0.01949230     7.45000000
0.01946290     7.50000000
0.01944590     7.55000000
0.01948370     7.60000000
0.01946640     7.65000000
0.01946690     7.70000000
0.01947270     7.75000000
0.01947670     7.80000000
0.01948420     7.85000000
0.01949040     7.90000000
0.01949320     7.95000000
0.01947720     8.00000000
0.01947400     8.05000000
