# <(nContacts>/<nCoS In NNShell>            epsilon
2.65964303     0.01000000
2.71297089     0.05000000
2.74101812     -0.10000000
2.80665901     0.15000000
2.84581243     0.20000000
2.90211271     0.25000000
2.94665762     0.30000000
2.99814995     0.35000000
3.05038760     0.40000000
3.09205753     0.45000000
3.14873029     0.50000000
3.19137687     0.55000000
3.24293581     0.60000000
3.28526483     0.65000000
3.33796037     0.70000000
3.37963884     0.75000000
3.42181199     0.80000000
3.46325544     0.85000000
3.49915522     0.90000000
3.53698542     0.95000000
3.57208598     1.00000000
3.60376714     1.05000000
3.63468590     1.10000000
3.66475772     1.15000000
3.69119089     1.20000000
3.71493380     1.25000000
3.73998550     1.30000000
3.76186100     1.35000000
3.78263068     1.40000000
3.80012557     1.45000000
3.81763778     1.50000000
3.83414118     1.55000000
3.84789796     1.60000000
3.86239563     1.65000000
3.87484204     1.70000000
3.88583465     1.75000000
3.89585120     1.80000000
3.90528091     1.85000000
3.91391271     1.90000000
3.92184236     1.95000000
3.92924266     2.00000000
3.93548134     2.05000000
3.94152731     2.10000000
3.94692647     2.15000000
3.95197232     2.20000000
3.95638751     2.25000000
3.96029739     2.30000000
3.96413894     2.35000000
3.96743554     2.40000000
3.97067048     2.45000000
3.97332874     2.50000000
3.97580975     2.55000000
3.97801402     2.60000000
3.98014264     2.65000000
3.98210192     2.70000000
3.98375470     2.75000000
3.98531991     2.80000000
3.98670927     2.85000000
3.98789693     2.90000000
3.98905344     2.95000000
3.99006380     3.00000000
3.99031155     3.01000000
3.99110057     3.05000000
3.99187251     3.10000000
3.99271515     3.15000000
3.99332693     3.20000000
3.99395092     3.25000000
3.99451528     3.30000000
3.99504192     3.35000000
3.99555241     3.40000000
3.99591454     3.45000000
3.99631308     3.50000000
3.99672510     3.55000000
3.99694130     3.60000000
3.99731165     3.65000000
3.99756853     3.70000000
3.99778419     3.75000000
3.99796591     3.80000000
3.99813767     3.85000000
3.99834327     3.90000000
3.99848936     3.95000000
3.99865202     4.00000000
3.99877404     4.05000000
3.99887848     4.10000000
3.99899485     4.15000000
3.99910946     4.20000000
3.99916472     4.25000000
3.99924970     4.30000000
3.99932931     4.35000000
3.99938830     4.40000000
3.99943997     4.45000000
3.99949921     4.50000000
3.99953439     4.55000000
3.99960968     4.60000000
3.99961958     4.65000000
3.99965472     4.70000000
3.99966988     4.75000000
3.99974484     4.80000000
3.99973984     4.85000000
3.99975463     4.90000000
3.99980488     4.95000000
3.99981995     5.00000000
3.99982990     5.05000000
3.99982978     5.10000000
3.99986496     5.15000000
3.99987995     5.20000000
3.99989997     5.25000000
3.99990499     5.30000000
3.99989981     5.35000000
3.99992993     5.40000000
3.99993493     5.45000000
3.99992997     5.50000000
3.99993996     5.55000000
3.99994997     5.60000000
3.99994993     5.65000000
3.99995495     5.70000000
3.99995496     5.75000000
3.99996496     5.80000000
3.99996493     5.85000000
3.99997999     5.90000000
3.99997499     5.95000000
3.99997999     6.00000000
3.99997500     6.05000000
3.99998498     6.10000000
3.99998999     6.15000000
3.99997998     6.20000000
3.99997999     6.25000000
3.99998500     6.30000000
3.99998499     6.35000000
3.99997998     6.40000000
4.00000000     6.45000000
3.99999499     6.50000000
3.99999499     6.55000000
4.00000000     6.60000000
4.00000000     6.65000000
4.00000000     6.70000000
4.00000000     6.75000000
4.00000000     6.80000000
4.00000000     6.85000000
3.99998999     6.90000000
3.99999500     6.95000000
3.99999000     7.00000000
3.99999000     7.05000000
3.99998999     7.10000000
3.99998999     7.15000000
3.99999499     7.20000000
4.00000501     7.25000000
4.00001000     7.30000000
4.00000000     7.35000000
4.00000000     7.40000000
3.99999000     7.45000000
4.00000501     7.50000000
3.99999499     7.55000000
3.99999500     7.60000000
4.00000000     7.65000000
3.99999499     7.70000000
3.99999499     7.75000000
3.99998999     7.80000000
3.99999500     7.85000000
4.00000500     7.90000000
4.00000000     7.95000000
4.00000000     8.00000000
4.00000000     8.05000000
