# <nContacts>            epsilon
0.08046750     0.01000000
0.09506250     0.05000000
0.10284300     -0.10000000
0.12223000     0.15000000
0.14747000     0.20000000
0.17342300     0.25000000
0.20618500     0.30000000
0.23903500     0.35000000
0.26758000     0.40000000
0.33239000     0.45000000
0.38983800     0.50000000
0.46839200     0.55000000
0.53883000     0.60000000
0.64531800     0.65000000
0.80436500     0.70000000
0.97170700     0.75000000
1.11587000     0.80000000
1.39022000     0.85000000
1.64855000     0.90000000
1.97958000     0.95000000
2.32092000     1.00000000
2.79719000     1.05000000
3.30281000     1.10000000
4.10834000     1.15000000
4.78227000     1.20000000
5.62571000     1.25000000
6.91456000     1.30000000
8.02262000     1.35000000
9.42798000     1.40000000
11.43910000     1.45000000
13.74090000     1.50000000
15.72550000     1.55000000
18.41350000     1.60000000
22.07390000     1.65000000
23.94850000     1.70000000
27.76390000     1.75000000
31.61530000     1.80000000
35.54450000     1.85000000
39.15400000     1.90000000
43.37440000     1.95000000
47.29040000     2.00000000
50.11560000     2.05000000
53.59610000     2.10000000
57.48580000     2.15000000
61.57410000     2.20000000
63.56530000     2.25000000
65.78450000     2.30000000
67.61830000     2.35000000
69.79830000     2.40000000
70.57430000     2.45000000
72.68450000     2.50000000
73.84510000     2.55000000
74.72580000     2.60000000
74.78290000     2.65000000
76.24650000     2.70000000
76.92710000     2.75000000
77.26260000     2.80000000
77.99000000     2.85000000
78.18910000     2.90000000
78.67650000     2.95000000
78.86800000     3.00000000
78.87170000     3.01000000
78.88530000     3.05000000
78.92890000     3.10000000
79.03380000     3.15000000
79.41090000     3.20000000
79.36300000     3.25000000
79.60310000     3.30000000
79.52890000     3.35000000
79.59500000     3.40000000
79.71370000     3.45000000
79.45110000     3.50000000
79.81500000     3.55000000
79.71140000     3.60000000
79.84670000     3.65000000
79.90300000     3.70000000
79.74620000     3.75000000
79.79860000     3.80000000
79.86280000     3.85000000
79.88330000     3.90000000
79.93580000     3.95000000
79.79630000     4.00000000
79.91310000     4.05000000
79.86920000     4.10000000
79.96790000     4.15000000
79.93340000     4.20000000
79.95650000     4.25000000
79.95300000     4.30000000
79.90380000     4.35000000
79.76580000     4.40000000
79.98400000     4.45000000
79.86440000     4.50000000
79.88630000     4.55000000
79.92620000     4.60000000
79.90440000     4.65000000
79.92790000     4.70000000
79.96460000     4.75000000
79.94330000     4.80000000
79.94600000     4.85000000
79.87390000     4.90000000
79.94730000     4.95000000
79.97200000     5.00000000
79.94820000     5.05000000
79.89420000     5.10000000
79.97090000     5.15000000
79.96640000     5.20000000
79.97520000     5.25000000
79.99250000     5.30000000
79.84720000     5.35000000
79.91900000     5.40000000
79.91550000     5.45000000
79.96580000     5.50000000
79.94960000     5.55000000
79.95260000     5.60000000
79.89380000     5.65000000
79.90630000     5.70000000
79.92190000     5.75000000
79.90810000     5.80000000
79.83730000     5.85000000
79.94920000     5.90000000
79.96150000     5.95000000
79.97000000     6.00000000
79.99950000     6.05000000
79.91730000     6.10000000
79.91380000     6.15000000
79.92800000     6.20000000
79.97840000     6.25000000
79.98810000     6.30000000
79.95290000     6.35000000
79.90080000     6.40000000
79.86840000     6.45000000
79.88390000     6.50000000
79.81430000     6.55000000
79.90520000     6.60000000
79.99880000     6.65000000
79.91760000     6.70000000
79.92520000     6.75000000
79.94040000     6.80000000
79.91480000     6.85000000
79.94260000     6.90000000
79.99990000     6.95000000
79.96820000     7.00000000
79.98020000     7.05000000
79.93700000     7.10000000
79.89020000     7.15000000
79.85510000     7.20000000
79.91730000     7.25000000
79.98100000     7.30000000
80.00000000     7.35000000
79.86560000     7.40000000
79.99620000     7.45000000
79.87570000     7.50000000
79.80590000     7.55000000
79.96110000     7.60000000
79.89000000     7.65000000
79.89230000     7.70000000
79.91590000     7.75000000
79.93220000     7.80000000
79.96310000     7.85000000
79.98850000     7.90000000
80.00000000     7.95000000
79.93440000     8.00000000
79.92120000     8.05000000
